action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Shot,Jump Shot,254,20000222,34.0253,129,19,-118.1408,10,3,0,2000-01,59,13,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-30,LAL @ SEA,SEA,328
Layup Shot,Layup,36,20000230,34.0443,0,0,-118.2698,8,1,0,2000-01,14,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-01,LAL vs. SAS,SAS,335
Running Jump Shot,Jump Shot,208,20000230,33.9893,-16,55,-118.2858,3,2,0,2000-01,14,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-01,LAL vs. SAS,SAS,346
Jump Shot,Jump Shot,267,20000230,33.9763,26,68,-118.2438,10,3,0,2000-01,15,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-01,LAL vs. SAS,SAS,348
Jump Shot,Jump Shot,4,20000246,33.8633,-16,181,-118.2858,11,1,0,2000-01,18,18,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-03,LAL vs. DAL,DAL,365
Driving Layup Shot,Layup,428,20000246,34.0443,0,0,-118.2698,4,4,0,2000-01,16,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-03,LAL vs. DAL,DAL,390
Driving Layup Shot,Layup,466,20000246,34.0443,0,0,-118.2698,1,4,0,2000-01,14,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-03,LAL vs. DAL,DAL,391
Running Jump Shot,Jump Shot,473,20000246,34.0333,-73,11,-118.3428,0,4,0,2000-01,41,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-03,LAL vs. DAL,DAL,392
Jump Shot,Jump Shot,99,20000258,33.7973,117,247,-118.1528,1,1,0,2000-01,27,27,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-05,LAL vs. PHI,PHI,397
Jump Shot,Jump Shot,439,20000258,33.8633,153,181,-118.1168,4,4,0,2000-01,16,23,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-05,LAL vs. PHI,PHI,418
Jump Shot,Jump Shot,106,20000267,34.0443,-147,0,-118.4168,0,1,0,2000-01,0,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-06,LAL @ GSW,GSW,428
Turnaround Jump Shot,Jump Shot,201,20000267,33.9783,-60,66,-118.3298,0,2,0,2000-01,33,8,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-06,LAL @ GSW,GSW,434
Layup Shot,Layup,250,20000267,34.0443,0,0,-118.2698,8,3,0,2000-01,25,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-06,LAL @ GSW,GSW,439
Jump Shot,Jump Shot,267,20000267,33.8163,96,228,-118.1738,6,3,0,2000-01,37,24,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-06,LAL @ GSW,GSW,440
Jump Shot,Jump Shot,2,20000280,33.9113,-86,133,-118.3558,11,1,0,2000-01,43,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-08,LAL vs. SEA,SEA,456
Jump Shot,Jump Shot,55,20000280,34.0103,60,34,-118.2098,6,1,0,2000-01,24,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-08,LAL vs. SEA,SEA,459
Jump Shot,Jump Shot,283,20000280,33.8733,117,171,-118.1528,7,3,0,2000-01,35,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-08,LAL vs. SEA,SEA,472
Jump Shot,Jump Shot,477,20000280,34.0403,-101,4,-118.3708,1,4,0,2000-01,43,10,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-08,LAL vs. SEA,SEA,480
Jump Shot,Jump Shot,226,20000297,33.8183,153,226,-118.1168,1,2,0,2000-01,19,27,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-10,LAL vs. DET,DET,491
Jump Shot,Jump Shot,302,20000297,33.9173,87,127,-118.1828,5,3,0,2000-01,16,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-10,LAL vs. DET,DET,497
Jump Shot,Jump Shot,106,20000309,33.7873,32,257,-118.2378,2,1,0,2000-01,33,25,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-12,LAL vs. MIL,MIL,509
Jump Shot,Jump Shot,120,20000309,33.8523,180,192,-118.0898,0,1,0,2000-01,44,26,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-12,LAL vs. MIL,MIL,511
Jump Shot,Jump Shot,365,20000309,33.9383,-16,106,-118.2858,0,3,0,2000-01,0,10,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-12,LAL vs. MIL,MIL,523
Jump Shot,Jump Shot,27,20000320,33.9363,161,108,-118.1088,8,1,0,2000-01,53,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-13,LAL @ POR,POR,533
Layup Shot,Layup,228,20000320,34.0443,0,0,-118.2698,1,2,0,2000-01,11,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-13,LAL @ POR,POR,544
Jump Shot,Jump Shot,275,20000320,34.0403,226,4,-118.0438,8,3,0,2000-01,36,22,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-13,LAL @ POR,POR,546
Driving Layup Shot,Layup,453,20000320,34.0443,0,0,-118.2698,0,4,0,2000-01,47,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-13,LAL @ POR,POR,555
Jump Shot,Jump Shot,3,20000334,33.7913,45,253,-118.2248,11,1,0,2000-01,18,25,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-15,LAL vs. VAN,VAN,558
Jump Shot,Jump Shot,29,20000334,33.9663,-143,78,-118.4128,7,1,0,2000-01,17,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-15,LAL vs. VAN,VAN,560
Jump Shot,Jump Shot,282,20000334,34.0103,-149,34,-118.4188,6,3,0,2000-01,30,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-15,LAL vs. VAN,VAN,573
Jump Shot,Jump Shot,371,20000347,33.8563,123,188,-118.1468,2,3,0,2000-01,26,22,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-17,LAL @ TOR,TOR,591
Jump Shot,Jump Shot,439,20000347,33.9453,-4,99,-118.2738,8,4,0,2000-01,13,9,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-17,LAL @ TOR,TOR,596
Jump Shot,Jump Shot,460,20000347,33.8673,-134,177,-118.4038,6,4,0,2000-01,14,22,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-17,LAL @ TOR,TOR,597
Turnaround Jump Shot,Jump Shot,515,20000347,33.9723,-48,72,-118.3178,0,4,0,2000-01,48,8,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-17,LAL @ TOR,TOR,601
Jump Shot,Jump Shot,24,20000352,33.8793,110,165,-118.1598,8,1,0,2000-01,39,19,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-19,LAL @ MIA,MIA,605
Jump Shot,Jump Shot,219,20000352,34.0443,125,0,-118.1448,10,3,0,2000-01,33,12,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-19,LAL @ MIA,MIA,617
Jump Shot,Jump Shot,420,20000352,34.0443,-166,0,-118.4358,0,4,0,2000-01,18,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-19,LAL @ MIA,MIA,628
Jump Shot,Jump Shot,68,20000373,33.9663,159,78,-118.1108,3,1,0,2000-01,43,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,634
Jump Shot,Jump Shot,327,20000373,34.0213,56,23,-118.2138,3,3,0,2000-01,20,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,646
Jump Shot,Jump Shot,378,20000373,33.9113,106,133,-118.1638,9,4,0,2000-01,44,17,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,649
Driving Layup Shot,Layup,402,20000373,34.0443,0,0,-118.2698,6,4,0,2000-01,16,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,651
Dunk Shot,Dunk,472,20000373,34.0443,0,0,-118.2698,0,4,0,2000-01,11,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,654
Layup Shot,Layup,6,20000379,34.0443,0,0,-118.2698,11,1,0,2000-01,6,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,656
Jump Shot,Jump Shot,10,20000379,33.9073,3,137,-118.2668,10,1,0,2000-01,47,13,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,657
Jump Shot,Jump Shot,275,20000379,33.9513,167,93,-118.1028,9,3,0,2000-01,1,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,669
Alley Oop Dunk Shot,Dunk,296,20000379,34.0443,0,0,-118.2698,5,3,0,2000-01,51,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,670
Turnaround Jump Shot,Jump Shot,474,20000397,33.9893,-44,55,-118.3138,1,4,0,2000-01,49,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,693
Jump Shot,Jump Shot,476,20000397,33.9453,-71,99,-118.3408,1,4,0,2000-01,22,12,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,694
Jump Shot,Jump Shot,49,20000420,33.8753,-27,169,-118.2968,4,1,0,2000-01,30,17,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,699
Jump Shot,Jump Shot,284,20000420,33.9473,167,97,-118.1028,6,3,0,2000-01,7,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,711
Jump Shot,Jump Shot,45,20000434,33.9833,144,61,-118.1258,5,1,0,2000-01,53,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,718
Jump Shot,Jump Shot,109,20000434,34.0443,153,0,-118.1168,10,2,0,2000-01,30,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,722
Jump Shot,Jump Shot,126,20000434,33.8563,-191,188,-118.4608,8,2,0,2000-01,55,26,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,723
Turnaround Jump Shot,Jump Shot,156,20000434,33.9623,16,82,-118.2538,5,2,0,2000-01,33,8,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,725
Jump Shot,Jump Shot,41,20000456,33.9833,153,61,-118.1168,7,1,0,2000-01,5,16,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,734
Layup Shot,Layup,53,20000456,34.0443,0,0,-118.2698,6,1,0,2000-01,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,735
