,author,text
40, Helen Hunt Jackson    ,"Walk boldly on the white untrodden snows, "
41, Helen Hunt Jackson    ,The winter is the winter's own release. 
42, Helen Hunt Jackson    ,This is the treacherous month when autumn days 
43, Helen Hunt Jackson    ,With summer's voice come bearing summer's gifts. 
44, Helen Hunt Jackson    ,"Beguiled, the pale down-trodden aster lifts "
45, Helen Hunt Jackson    ,"Her head and blooms again. The soft, warm haze "
46, Helen Hunt Jackson    ,"Makes moist once more the sere and dusty ways, "
47, Helen Hunt Jackson    ,"And, creeping through where dead leaves lie in drifts, "
48, Helen Hunt Jackson    ,The violet returns. Snow noiseless sifts 
49, Helen Hunt Jackson    ,"Ere night, an icy shroud, which morning's rays "
50, Helen Hunt Jackson    ,"Willidly shine upon and slowly melt, "
51, Helen Hunt Jackson    ,Too late to bid the violet live again. 
52, Helen Hunt Jackson    ,"The treachery, at last, too late, is plain; "
53, Helen Hunt Jackson    ,Bare are the places where the sweet flowers dwelt. 
54, Helen Hunt Jackson    ,What joy sufficient hath November felt? 
55, Helen Hunt Jackson    ,What profit from the violet's day of pain? 
56, Rupert Brooke    Ruper,Hand trembling towards hand; the amazing lights 
57, Rupert Brooke    Ruper,Of heart and eye. They stood on supreme heights. 
58, Rupert Brooke    Ruper,
59, Rupert Brooke    Ruper,"Ah, the delirious weeks of honeymoon! "
60, Rupert Brooke    Ruper,"Soon they returned, and, after strange adventures, "
61, Rupert Brooke    Ruper,Settled at Balham by the end of June. 
62, Rupert Brooke    Ruper,"Their money was in Can. Pacs. B. Debentures, "
63, Rupert Brooke    Ruper,And in Antofagastas. Still he went 
64, Rupert Brooke    Ruper,Cityward daily; still she did abide 
65, Rupert Brooke    Ruper,At home. And both were really quite content 
66, Rupert Brooke    Ruper,With work and social pleasures. Then they died. 
67, Rupert Brooke    Ruper,"They left three children (besides George, who drank): "
68, Rupert Brooke    Ruper,"The eldest Jane, who married Mr Bell, "
69, Rupert Brooke    Ruper,"William, the head-clerk in the County Bank, "
70, Rupert Brooke    Ruper,"And Henry, a stock-broker, doing well."
71, Rupert Brooke    Ruper,I said I splendidly loved you; it's not true.
72, Rupert Brooke    Ruper,Such long swift tides stir not a land-locked sea.
73, Rupert Brooke    Ruper,On gods or fools the high risk falls -- on you --
74, Rupert Brooke    Ruper,The clean clear bitter-sweet that's not for me.
75, Rupert Brooke    Ruper,Love soars from earth to ecstasies unwist.
76, Rupert Brooke    Ruper,Love is flung Lucifer-like from Heaven to Hell.
77, Rupert Brooke    Ruper,"But -- there are wanderers in the middle mist,"
78, Rupert Brooke    Ruper,"Who cry for shadows, clutch, and cannot tell"
79, Rupert Brooke    Ruper,"Whether they love at all, or, loving, whom:"
80, Rupert Brooke    Ruper,"An old song's lady, a fool in fancy dress,"
81, Rupert Brooke    Ruper,"Or phantoms, or their own face on the gloom;"
82, Rupert Brooke    Ruper,"For love of Love, or from heart's loneliness."
83, Rupert Brooke    Ruper,"Pleasure's not theirs, nor pain. They doubt, and sigh,"
84, Rupert Brooke    Ruper,And do not love at all. Of these am I.
85, Rupert Brooke    Ruper,"Not with vain tears, when we’re beyond the sun, "
86, Rupert Brooke    Ruper,"We’ll beat on the substantial doors, nor tread "
87, Rupert Brooke    Ruper,Those dusty high-roads of the aimless dead 
88, Rupert Brooke    Ruper,Plaintive for Earth; but rather turn and run 
89, Rupert Brooke    Ruper,"Down some close-covered by-way of the air,"
90, Rupert Brooke    Ruper,"Some low sweet alley between wind and wind, "
91, Rupert Brooke    Ruper,"Stoop under faint gleams, thread the shadows, find "
92, Rupert Brooke    Ruper,"Some whispering ghost-forgotten nook, and there "
93, Rupert Brooke    Ruper,
94, Rupert Brooke    Ruper,Spend in pure converse our eternal day; 
95, Rupert Brooke    Ruper,"Think each in each, immediately wise;"
96, Rupert Brooke    Ruper,"Learn all we lacked before; hear, know, and say "
97, Rupert Brooke    Ruper,What this tumultuous body now denies; 
98, Rupert Brooke    Ruper,"And feel, who have laid our groping hands away; "
99, Rupert Brooke    Ruper,"And see, no longer blinded by our eyes."
100, Rupert Brooke    Ruper,"Oh! Death will find me, long before I tire"
101, Rupert Brooke    Ruper,Of watching you; and swing me suddenly
102, Rupert Brooke    Ruper,Into the shade and loneliness and mire
103, Rupert Brooke    Ruper,"Of the last land! There, waiting patiently,"
104, Rupert Brooke    Ruper,
105, Rupert Brooke    Ruper,"One day, I think, I'll feel a cool wind blowing,"
106, Rupert Brooke    Ruper,"See a slow light across the Stygian tide,"
107, Rupert Brooke    Ruper,"And hear the Dead about me stir, unknowing,"
108, Rupert Brooke    Ruper,"And tremble. And I shall know that you have died,"
109, Rupert Brooke    Ruper,
110, Rupert Brooke    Ruper,"And watch you, a broad-browed and smiling dream,"
111, Rupert Brooke    Ruper,"Pass, light as ever, through the lightless host,"
112, Rupert Brooke    Ruper,"Quietly ponder, start, and sway, and gleam --"
113, Rupert Brooke    Ruper,Most individual and bewildering ghost! --
114, Rupert Brooke    Ruper,
115, Rupert Brooke    Ruper,"And turn, and toss your brown delightful head"
116, Rupert Brooke    Ruper,"Amusedly, among the ancient Dead."
117, Elizabeth Barrett Browning  poetry,"Indeed this very love which is my boast,"
118, Elizabeth Barrett Browning  poetry,"And which, when rising up from breast to brow,"
119, Elizabeth Barrett Browning  poetry,Doth crown me with a ruby large enow
120, Elizabeth Barrett Browning  poetry,"To draw men's eyes and prove the inner cost,—"
121, Elizabeth Barrett Browning  poetry,"This love even, all my worth, to the uttermost,"
122, Elizabeth Barrett Browning  poetry,"I should not love withal, unless that thou"
123, Elizabeth Barrett Browning  poetry,"Hadst set me an example, shown me how,"
124, Elizabeth Barrett Browning  poetry,"When first thine earnest eyes with mine were crossed,"
125, Elizabeth Barrett Browning  poetry,"And love called love. And thus, I cannot speak"
126, Elizabeth Barrett Browning  poetry,"Of love even, as a good thing of my own:"
127, Elizabeth Barrett Browning  poetry,"Thy soul hath snatched up mine all faint and weak,"
128, Elizabeth Barrett Browning  poetry,"And placed it by thee on a golden throne,—"
129, Elizabeth Barrett Browning  poetry,"And that I love (O soul, we must be meek!)"
130, Elizabeth Barrett Browning  poetry,"Is by thee only, whom I love alone."
131, Elizabeth Barrett Browning  poetry,"When our two souls stand up erect and strong,"
132, Elizabeth Barrett Browning  poetry,"Face to face, silent, drawing nigh and nigher,"
133, Elizabeth Barrett Browning  poetry,Until the lengthening wings break into fire
134, Elizabeth Barrett Browning  poetry,"At either curved point,—what bitter wrong"
135, Elizabeth Barrett Browning  poetry,"Can the earth do to us, that we should not long"
136, Elizabeth Barrett Browning  poetry,"Be here contented? Think. In mounting higher,"
137, Elizabeth Barrett Browning  poetry,The angels would press on us and aspire
138, Elizabeth Barrett Browning  poetry,To drop some golden orb of perfect song
139, Elizabeth Barrett Browning  poetry,"Into our deep, dear silence. Let us stay"
140, Elizabeth Barrett Browning  poetry,"Rather on earth, Beloved,—where the unfit"
141, Elizabeth Barrett Browning  poetry,Contrarious moods of men recoil away
142, Elizabeth Barrett Browning  poetry,"And isolate pure spirits, and permit"
143, Elizabeth Barrett Browning  poetry,"A place to stand and love in for a day,"
144, Elizabeth Barrett Browning  poetry,With darkness and the death-hour rounding it.
145, Elizabeth Barrett Browning  poetry,"Beloved, thou hast brought me many flowers"
146, Elizabeth Barrett Browning  poetry,"Plucked in the garden, all the summer through"
147, Elizabeth Barrett Browning  poetry,"And winter, and it seemed as if they grew"
148, Elizabeth Barrett Browning  poetry,"In this close room, nor missed the sun and showers."
149, Elizabeth Barrett Browning  poetry,"So, in the like name of that love of ours,"
150, Elizabeth Barrett Browning  poetry,"Take back these thoughts which here unfolded too,"
151, Elizabeth Barrett Browning  poetry,And which on warm and cold days I withdrew
152, Elizabeth Barrett Browning  poetry,"From my heart's ground. Indeed, those beds and bowers"
153, Elizabeth Barrett Browning  poetry,"Be overgrown with bitter weeds and rue,"
154, Elizabeth Barrett Browning  poetry,"And wait thy weeding; yet here's eglantine,"
155, Elizabeth Barrett Browning  poetry,"Here 's ivy!—take them, as I used to do"
156, Elizabeth Barrett Browning  poetry,"Thy fowers, and keep them where they shall not pine."
157, Elizabeth Barrett Browning  poetry,"Instruct thine eyes to keep their colors true,"
158, Elizabeth Barrett Browning  poetry,And tell thy soul their roots are left in mine.
159, Elizabeth Barrett Browning  poetry,"First time he kissed me, he but only kissed"
160, Elizabeth Barrett Browning  poetry,The fingers of this hand wherewith I write;
161, Elizabeth Barrett Browning  poetry,"And ever since, it grew more clean and white,"
162, Elizabeth Barrett Browning  poetry,"Slow to world-greetings, quick with its 'Oh, list,'"
163, Elizabeth Barrett Browning  poetry,When the angels speak. A ring of amethyst
164, Elizabeth Barrett Browning  poetry,"I could not wear here, plainer to my sight,"
165, Elizabeth Barrett Browning  poetry,Than that first kiss. The second passed in height
166, Elizabeth Barrett Browning  poetry,"The first, and sought the forehead, and half missed,"
167, Elizabeth Barrett Browning  poetry,Half falling on the hair. O beyond meed!
168, Elizabeth Barrett Browning  poetry,"That was the chrism of love, which love's own crown,"
169, Elizabeth Barrett Browning  poetry,"With sanctifying sweetness, did precede."
170, Elizabeth Barrett Browning  poetry,The third upon my lips was folded down
171, Elizabeth Barrett Browning  poetry,"In perfect, purple state; since when, indeed,"
172, Elizabeth Barrett Browning  poetry,"I have been proud and said, 'My love, my own.'"
173, Elizabeth Barrett Browning  poetry,The first time that the sun rose on thine oath
174, Elizabeth Barrett Browning  poetry,"To love me, I looked forward to the moon"
175, Elizabeth Barrett Browning  poetry,To slacken all those bonds which seemed too soon
176, Elizabeth Barrett Browning  poetry,And quickly tied to make a lasting troth.
177, Elizabeth Barrett Browning  poetry,"Quick-loving hearts, I thought, may quickly loathe;"
178, Elizabeth Barrett Browning  poetry,"And, looking on myself, I seemed not one"
179, Elizabeth Barrett Browning  poetry,For such man's love!—more like an out-of-tune
180, Elizabeth Barrett Browning  poetry,"Worn viol, a good singer would be wroth"
181, Elizabeth Barrett Browning  poetry,"To spoil his song with, and which, snatched in haste,"
182, Elizabeth Barrett Browning  poetry,Is laid down at the first ill-sounding note.
183, Elizabeth Barrett Browning  poetry,"I did not wrong myself so, but I placed"
184, Elizabeth Barrett Browning  poetry,A wrong on thee. For perfect strains may float
185, Elizabeth Barrett Browning  poetry,"'Neath master-hands, from instruments defaced,—"
186, Elizabeth Barrett Browning  poetry,"And great souls, at one stroke, may do and doat."
187, Elizabeth Barrett Browning  poetry,Can it be right to give what I can give?
188, Elizabeth Barrett Browning  poetry,To let thee sit beneath the fall of tears
189, Elizabeth Barrett Browning  poetry,"As salt as mine, and hear the sighing years"
190, Elizabeth Barrett Browning  poetry,Re-sighing on my lips renunciative
191, Elizabeth Barrett Browning  poetry,Through those infrequent smiles which fail to live
192, Elizabeth Barrett Browning  poetry,"For all thy adjurations? O my fears,"
193, Elizabeth Barrett Browning  poetry,"That this can scarce be right! We are not peers,"
194, Elizabeth Barrett Browning  poetry,"So to be lovers; and I own, and grieve,"
195, Elizabeth Barrett Browning  poetry,"That givers of such gifts as mine are, must"
196, Elizabeth Barrett Browning  poetry,"Be counted with the ungenerous. Out, alas!"
197, Elizabeth Barrett Browning  poetry,"I will not soil thy purple with my dust,"
198, Elizabeth Barrett Browning  poetry,"Nor breathe my poison on thy Venice-glass,"
199, Elizabeth Barrett Browning  poetry,Nor give thee any love—which were unjust.
200, Elizabeth Barrett Browning  poetry,"Beloved, I only love thee! let it pass."
201, Elizabeth Barrett Browning  poetry,"Say over again, and yet once over again,"
202, Elizabeth Barrett Browning  poetry,That thou dost love me. Though the word repeated
203, Elizabeth Barrett Browning  poetry,"Should seem 'a cuckoo-song,' as thou dost treat it,"
204, Elizabeth Barrett Browning  poetry,"Remember, never to the hill or plain,"
205, Elizabeth Barrett Browning  poetry,"Valley and wood, without her cuckoo-strain"
206, Elizabeth Barrett Browning  poetry,Comes the fresh Spring in all her green completed.
207, Elizabeth Barrett Browning  poetry,"Beloved, I, amid the darkness greeted"
208, Elizabeth Barrett Browning  poetry,"By a doubtful spirit-voice, in that doubt's pain"
209, Elizabeth Barrett Browning  poetry,"Cry, 'Speak once more—thou lovest! 'Who can fear"
210, Elizabeth Barrett Browning  poetry,"Too many stars, though each in heaven shall roll,"
211, Elizabeth Barrett Browning  poetry,"Too many flowers, though each shall crown the year?"
212, Elizabeth Barrett Browning  poetry,"Say thou dost love me, love me, love me—toll"
213, Elizabeth Barrett Browning  poetry,"The silver iterance!—only minding, Dear,"
214, Elizabeth Barrett Browning  poetry,To love me also in silence with thy soul.
215, Elizabeth Barrett Browning  poetry,"The face of all the world is changed, I think,"
216, Elizabeth Barrett Browning  poetry,Since first I heard the footsteps of thy soul
217, Elizabeth Barrett Browning  poetry,"Move still, oh, still, beside me, as they stole"
218, Elizabeth Barrett Browning  poetry,Betwixt me and the dreadful outer brink
219, Elizabeth Barrett Browning  poetry,"Of obvious death, where I, who thought to sink,"
220, Elizabeth Barrett Browning  poetry,"Was caught up into love, and taught the whole"
221, Elizabeth Barrett Browning  poetry,Of life in a new rhythm. The cup of dole
222, Elizabeth Barrett Browning  poetry,"God gave for baptism, I am fain to drink,"
223, Elizabeth Barrett Browning  poetry,"And praise its sweetness, Sweet, with thee anear."
224, Elizabeth Barrett Browning  poetry,"The names of country, heaven, are changed away"
225, Elizabeth Barrett Browning  poetry,"For where thou art or shalt be, there or here;"
226, Elizabeth Barrett Browning  poetry,"And this . . . this lute and song . . . loved yesterday,"
227, Elizabeth Barrett Browning  poetry,(The singing angels know) are only dear
228, Elizabeth Barrett Browning  poetry,Because thy name moves right in what they say.
229, Elizabeth Barrett Browning  poetry,"Is it indeed so? If I lay here dead,"
230, Elizabeth Barrett Browning  poetry,Wouldst thou miss any life in losing mine?
231, Elizabeth Barrett Browning  poetry,And would the sun for thee more coldly shine
232, Elizabeth Barrett Browning  poetry,Because of grave-damps falling round my head?
233, Elizabeth Barrett Browning  poetry,"I marvelled, my Beloved, when I read"
234, Elizabeth Barrett Browning  poetry,Thy thought so in the letter. I am thine—
235, Elizabeth Barrett Browning  poetry,But . . . so much to thee? Can I pour thy wine
236, Elizabeth Barrett Browning  poetry,"While my hands tremble ? Then my soul, instead"
237, Elizabeth Barrett Browning  poetry,"Of dreams of death, resumes life's lower range."
238, Elizabeth Barrett Browning  poetry,"Then, love me, Love! look on me—breathe on me!"
239, Elizabeth Barrett Browning  poetry,"As brighter ladies do not count it strange,"
240, Elizabeth Barrett Browning  poetry,"For love, to give up acres and degree,"
241, Elizabeth Barrett Browning  poetry,"I yield the grave for thy sake, and exchange"
242, Elizabeth Barrett Browning  poetry,"My near sweet view of Heaven, for earth with thee!"
243, Elizabeth Barrett Browning  poetry,"I see thine image through my tears to-night,"
244, Elizabeth Barrett Browning  poetry,And yet to-day I saw thee smiling. How
245, Elizabeth Barrett Browning  poetry,"Refer the cause?—Beloved, is it thou"
246, Elizabeth Barrett Browning  poetry,"Or I, who makes me sad? The acolyte"
247, Elizabeth Barrett Browning  poetry,Amid the chanted joy and thankful rite
248, Elizabeth Barrett Browning  poetry,"May so fall flat, with pale insensate brow,"
249, Elizabeth Barrett Browning  poetry,"On the altar-stair. I hear thy voice and vow,"
250, Elizabeth Barrett Browning  poetry,"Perplexed, uncertain, since thou art out of sight,"
251, Elizabeth Barrett Browning  poetry,"As he, in his swooning ears, the choir's Amen."
252, Elizabeth Barrett Browning  poetry,"Beloved, dost thou love? or did I see all"
253, Elizabeth Barrett Browning  poetry,"The glory as I dreamed, and fainted when"
254, Elizabeth Barrett Browning  poetry,"Too vehement light dilated my ideal,"
255, Elizabeth Barrett Browning  poetry,"For my soul's eyes? Will that light come again,"
256, Elizabeth Barrett Browning  poetry,As now these tears come—falling hot and real?
257, Helen Hunt Jackson    ,"O month whose promise and fulfilment blend, "
258, Helen Hunt Jackson    ,And burst in one! it seems the earth can store 
259, Helen Hunt Jackson    ,In all her roomy house no treasure more; 
260, Helen Hunt Jackson    ,Of all her wealth no farthing have to spend 
261, Helen Hunt Jackson    ,"On fruit, when once this stintless flowering end. "
262, Helen Hunt Jackson    ,And yet no tiniest flower shall fall before 
263, Helen Hunt Jackson    ,It hath made ready at its hidden core 
264, Helen Hunt Jackson    ,"Its tithe of seed, which we may count and tend "
265, Helen Hunt Jackson    ,"Till harvest. Joy of blossomed love, for thee "
266, Helen Hunt Jackson    ,Seems it no fairer thing can yet have birth? 
267, Helen Hunt Jackson    ,No room is left for deeper ecstacy? 
268, Helen Hunt Jackson    ,"Watch well if seeds grow strong, to scatter free "
269, Helen Hunt Jackson    ,Germs for thy future summers on the earth. 
270, Helen Hunt Jackson    ,A joy which is but joy soon comes to dearth. 
271, Helen Hunt Jackson    ,Month which the warring ancients strangely styled 
272, Helen Hunt Jackson    ,"The month of war,--as if in their fierce ways "
273, Helen Hunt Jackson    ,Were any month of peace!--in thy rough days 
274, Helen Hunt Jackson    ,"I find no war in Nature, though the wild "
275, Helen Hunt Jackson    ,"Winds clash and clang, and broken boughs are piled "
276, Helen Hunt Jackson    ,As feet of writhing trees. The violets raise 
277, Helen Hunt Jackson    ,"Their heads without affright, without amaze, "
278, Helen Hunt Jackson    ,"And sleep through all the din, as sleeps a child. "
279, Helen Hunt Jackson    ,And he who watches well may well discern 
280, Helen Hunt Jackson    ,Sweet expectation in each living thing. 
281, Helen Hunt Jackson    ,Like pregnant mother the sweet earth doth yearn; 
282, Helen Hunt Jackson    ,In secret joy makes ready for the spring; 
283, Helen Hunt Jackson    ,"And hidden, sacred, in her breast doth bear "
284, Helen Hunt Jackson    ,Annunciation lilies for the year.
285, Elizabeth Barrett Browning  poetry,"With the same heart, I said, I'll answer thee"
286, Elizabeth Barrett Browning  poetry,"As those, when thou shalt call me by my name—"
287, Elizabeth Barrett Browning  poetry,"Lo, the vain promise! is the same, the same,"
288, Elizabeth Barrett Browning  poetry,Perplexed and ruffled by life's strategy?
289, Elizabeth Barrett Browning  poetry,"When called before, I told how hastily"
290, Elizabeth Barrett Browning  poetry,"I dropped my flowers or brake off from a game,"
291, Elizabeth Barrett Browning  poetry,To run and answer with the smile that came
292, Elizabeth Barrett Browning  poetry,"At play last moment, and went on with me"
293, Elizabeth Barrett Browning  poetry,"Through my obedience. When I answer now,"
294, Elizabeth Barrett Browning  poetry,"I drop a grave thought, break from solitude;"
295, Elizabeth Barrett Browning  poetry,Yet still my heart goes to thee—ponder how—
296, Elizabeth Barrett Browning  poetry,"Not as to a single good, but all my good!"
297, Elizabeth Barrett Browning  poetry,"Lay thy hand on it, best one, and allow"
298, Elizabeth Barrett Browning  poetry,That no child's foot could run fast as this blood.
299, Elizabeth Barrett Browning  poetry,"Oh, yes! they love through all this world of ours!"
300, Elizabeth Barrett Browning  poetry,"I will not gainsay love, called love forsooth."
301, Elizabeth Barrett Browning  poetry,"I have heard love talked in my early youth,"
302, Elizabeth Barrett Browning  poetry,"And since, not so long back but that the flowers"
303, Elizabeth Barrett Browning  poetry,"Then gathered, smell still. Mussulmans and Giaours"
304, Elizabeth Barrett Browning  poetry,"Throw kerchiefs at a smile, and have no ruth"
305, Elizabeth Barrett Browning  poetry,For any weeping. Polypheme's white tooth
306, Elizabeth Barrett Browning  poetry,"Slips on the nut if, after frequent showers,"
307, Elizabeth Barrett Browning  poetry,"The shell is over-smooth,—and not so much"
308, Elizabeth Barrett Browning  poetry,"Will turn the thing called love, aside to hate"
309, Elizabeth Barrett Browning  poetry,Or else to oblivion. But thou art not such
310, Elizabeth Barrett Browning  poetry,"A lover, my Beloved! thou canst wait"
311, Elizabeth Barrett Browning  poetry,"Through sorrow and sickness, to bring souls to touch,"
312, Elizabeth Barrett Browning  poetry,And think it soon when others cry 'Too late.'
313, Elizabeth Barrett Browning  poetry,"And yet, because thou overcomest so,"
314, Elizabeth Barrett Browning  poetry,"Because thou art more noble and like a king,"
315, Elizabeth Barrett Browning  poetry,Thou canst prevail against my fears and fling
316, Elizabeth Barrett Browning  poetry,"Thy purple round me, till my heart shall grow"
317, Elizabeth Barrett Browning  poetry,Too close against thine heart henceforth to know
318, Elizabeth Barrett Browning  poetry,"How it shook when alone. Why, conquering"
319, Elizabeth Barrett Browning  poetry,May prove as lordly and complete a thing
320, Elizabeth Barrett Browning  poetry,"In lifting upward, as in crushing low!"
321, Elizabeth Barrett Browning  poetry,And as a vanquished soldier yields his sword
322, Elizabeth Barrett Browning  poetry,"To one who lifts him from the bloody earth,"
323, Elizabeth Barrett Browning  poetry,"Even so, Beloved, I at last record,"
324, Elizabeth Barrett Browning  poetry,"Here ends my strife. If thou invite me forth,"
325, Elizabeth Barrett Browning  poetry,I rise above abasement at the word.
326, Elizabeth Barrett Browning  poetry,Make thy love larger to enlarge my worth.
327, Elizabeth Barrett Browning  poetry,XIX
328, Elizabeth Barrett Browning  poetry,
329, Elizabeth Barrett Browning  poetry,The soul's Rialto hath its merchandise;
330, Elizabeth Barrett Browning  poetry,"I barter curl for curl upon that mart,"
331, Elizabeth Barrett Browning  poetry,And from my poet's forehead to my heart
332, Elizabeth Barrett Browning  poetry,"Receive this lock which outweighs argosies,—"
333, Elizabeth Barrett Browning  poetry,"As purply black, as erst to Pindar's eyes"
334, Elizabeth Barrett Browning  poetry,The dim purpureal tresses gloomed athwart
335, Elizabeth Barrett Browning  poetry,"The nine white Muse-brows. For this counterpart, . . ."
336, Elizabeth Barrett Browning  poetry,"The bay-crown's shade, Beloved, I surmise,"
337, Elizabeth Barrett Browning  poetry,"Still lingers on thy curl, it is so black!"
338, Elizabeth Barrett Browning  poetry,"Thus, with a fillet of smooth-kissing breath,"
339, Elizabeth Barrett Browning  poetry,"I tie the shadows safe from gliding back,"
340, Elizabeth Barrett Browning  poetry,And lay the gift where nothing hindereth;
341, Elizabeth Barrett Browning  poetry,"Here on my heart, as on thy brow, to lack"
342, Elizabeth Barrett Browning  poetry,No natural heat till mine grows cold in death.
343, John Donne    John Don,Since she whom I loved hath paid her last debt
344, John Donne    John Don,"To Nature, and to hers, and my good is dead,"
345, John Donne    John Don,"And her soul early into heaven ravished,"
346, John Donne    John Don,Wholly on heavenly things my mind is set.
347, John Donne    John Don,here the admiring her my mind did whet
348, John Donne    John Don,"To seek thee, God; so streams do show the head;"
349, John Donne    John Don,"But though I have found thee, and thou my thirst hast fed,"
350, John Donne    John Don,a holy thristy dropsy melts me yet.
351, John Donne    John Don,"But why should I beg more love, whenas thou"
352, John Donne    John Don,"Dost woo my soul, for hers offering all thine:"
353, John Donne    John Don,And dost not only fear lest I allow
354, John Donne    John Don,"My love to saints and angels, things divine,"
355, John Donne    John Don,but in they tender jealousy dost doubt
356, John Donne    John Don,"lest the world, flesh, yea, devil put thee out."
357, Lord Byron    Lord Byr,"Thy cheek is pale with thought, but not from woe,"
358, Lord Byron    Lord Byr,"And yet so lovely, that if Mirth could flush"
359, Lord Byron    Lord Byr,"Its rose of whiteness with the brightest blush,"
360, Lord Byron    Lord Byr,My heart would wish away that ruder glow:
361, Lord Byron    Lord Byr,"And dazzle not thy deep-blue eyes---but, oh!"
362, Lord Byron    Lord Byr,"While gazing on them sterner eyes will gush,"
363, Lord Byron    Lord Byr,"And into mine my mother's weakness rush,"
364, Lord Byron    Lord Byr,Soft as the last drops round Heaven's airy bow.
365, Lord Byron    Lord Byr,"For, though thy long dark lashes low depending,"
366, Lord Byron    Lord Byr,The soul of melancholy Gentleness
367, Lord Byron    Lord Byr,"Gleams like a Seraph from the sky descending,"
368, Lord Byron    Lord Byr,"Above all pain, yet pitying all distress;"
369, Lord Byron    Lord Byr,"At once such majesty with sweetness blending,"
370, Lord Byron    Lord Byr,"I worship more, but cannot love thee less."
371, John Donne    John Don,I am a little world made cunningly
372, John Donne    John Don,"Of elements, and an angelic sprite;"
373, John Donne    John Don,But black sin hath betrayed to endless night
374, John Donne    John Don,"My worlds both parts, and (oh!) both parts must die."
375, John Donne    John Don,You which beyond that heaven which was most high
376, John Donne    John Don,"Have found new spheres, and of new lands can write,"
377, John Donne    John Don,"Pour new seas in mine eyes, that so I might"
378, John Donne    John Don,"Drown my world with my weeping earnestly,"
379, John Donne    John Don,Or wash it if it must be drowned no more:
380, John Donne    John Don,But oh it must be burnt! alas the fire
381, John Donne    John Don,"Of lust and envy have burnt it heretofore,"
382, John Donne    John Don,"And made it fouler: Let their flames retire,"
383, John Donne    John Don,"And burn me, O Lord, with a fiery zeal"
384, John Donne    John Don,"Of Thee and Thy house, which doth in eating heal."
385, John Donne    John Don,"This is my play's last scene, here heavens appoint"
386, John Donne    John Don,My pilgrimage's last mile; and my race
387, John Donne    John Don,"Idly, yet quickly run, hath this last pace,"
388, John Donne    John Don,"My span's last inch, my minute's latest point,"
389, John Donne    John Don,"And gluttonous death, will instantly unjoint"
390, John Donne    John Don,"My body and soul, and I shall sleep a space;"
391, John Donne    John Don,"But my ever-waking part shall see that face,"
392, John Donne    John Don,Whose fear already shakes my every joint:
393, John Donne    John Don,"Then, as my soul, t' heaven her first seat, takes flight,"
394, John Donne    John Don,"And earth-born body in the earth shall dwell,"
395, John Donne    John Don,So fall my sins that all may have their right
396, John Donne    John Don,"(To where they're bred, and would press me) to hell."
