"","org","year","survey","bush","state","edu","age","female","black","weight"
"138","cbsnyt",1,"9152",0,35,1,3,1,0,498
"139","cbsnyt",1,"9152",1,14,4,3,1,0,264
"140","cbsnyt",1,"9152",1,48,2,2,0,0,1209
"141","cbsnyt",1,"9152",NA,45,2,3,1,0,513
"142","cbsnyt",1,"9152",1,23,2,2,0,0,587
"143","cbsnyt",1,"9152",1,3,2,4,1,0,680
"144","cbsnyt",1,"9152",1,23,2,1,1,0,1178
"145","cbsnyt",1,"9152",0,10,3,3,1,1,430
"146","cbsnyt",1,"9152",1,21,4,3,1,0,897
"147","cbsnyt",1,"9152",0,32,2,4,1,1,2043
"148","cbsnyt",1,"9152",1,5,4,1,0,0,913
"149","cbsnyt",1,"9152",1,23,4,2,1,0,618
"150","cbsnyt",1,"9152",1,43,3,2,0,0,667
"151","cbsnyt",1,"9152",0,18,4,3,1,0,598
"152","cbsnyt",1,"9152",0,48,4,2,1,0,636
"153","cbsnyt",1,"9152",0,8,4,2,0,0,1166
"154","cbsnyt",1,"9152",0,48,4,3,0,0,151
"155","cbsnyt",1,"9152",1,23,2,3,0,0,1107
"156","cbsnyt",1,"9152",1,21,3,1,0,0,898
"157","cbsnyt",1,"9152",0,5,3,2,0,0,606
"158","cbsnyt",1,"9152",1,15,2,2,0,0,1174
"159","cbsnyt",1,"9152",NA,14,1,4,1,0,1322
"160","cbsnyt",1,"9152",1,5,3,2,1,0,410
"161","cbsnyt",1,"9152",1,1,3,3,1,0,572
"162","cbsnyt",1,"9152",1,44,2,2,0,0,1330
"163","cbsnyt",1,"9152",1,6,3,3,1,0,260
"164","cbsnyt",1,"9152",1,5,2,1,1,0,1213
"165","cbsnyt",1,"9152",0,24,4,1,0,0,1182
"166","cbsnyt",1,"9152",1,17,4,2,0,0,686
"167","cbsnyt",1,"9152",1,5,3,2,1,0,1092
"168","cbsnyt",1,"9152",0,6,4,2,1,0,318
"169","cbsnyt",1,"9152",1,25,2,3,1,0,565
"170","cbsnyt",1,"9152",1,5,3,2,1,0,273
"171","cbsnyt",1,"9152",0,51,1,3,0,0,1140
"172","cbsnyt",1,"9152",0,16,3,2,1,0,530
"173","cbsnyt",1,"9152",1,25,1,4,0,0,1663
"174","cbsnyt",1,"9152",1,49,1,2,0,0,1665
"175","cbsnyt",1,"9152",1,19,3,3,1,0,286
"176","cbsnyt",1,"9152",0,5,3,2,1,0,546
"177","cbsnyt",1,"9152",0,5,1,1,1,0,607
"178","cbsnyt",1,"9152",1,48,2,1,0,0,1347
"179","cbsnyt",1,"9152",1,21,2,1,0,0,2224
"180","cbsnyt",1,"9152",0,10,2,4,0,0,1663
"181","cbsnyt",1,"9152",0,18,1,4,1,0,749
"182","cbsnyt",1,"9152",0,21,4,2,1,0,350
"183","cbsnyt",1,"9152",0,47,4,1,1,0,302
"184","cbsnyt",1,"9152",0,14,2,2,0,0,1761
"185","cbsnyt",1,"9152",0,36,2,2,0,1,1343
"186","cbsnyt",1,"9152",0,41,2,4,1,0,749
"187","cbsnyt",1,"9152",1,33,2,3,0,1,3362
"188","cbsnyt",1,"9152",1,5,4,2,0,0,353
"189","cbsnyt",1,"9152",1,16,3,3,0,0,841
"190","cbsnyt",1,"9152",1,10,2,1,1,0,2670
"191","cbsnyt",1,"9152",1,11,2,2,0,1,3044
"192","cbsnyt",1,"9152",1,36,2,4,0,0,1468
"193","cbsnyt",1,"9152",0,33,4,3,1,0,1751
"194","cbsnyt",1,"9152",1,39,2,2,1,0,701
"195","cbsnyt",1,"9152",1,1,2,1,1,0,1335
"196","cbsnyt",1,"9152",1,36,1,3,1,0,997
"197","cbsnyt",1,"9152",1,22,2,3,1,0,2646
"198","cbsnyt",1,"9152",1,31,2,2,1,0,1403
"199","cbsnyt",1,"9152",1,33,3,2,0,0,781
"200","cbsnyt",1,"9152",0,44,2,1,1,0,1335
"201","cbsnyt",1,"9152",1,14,2,2,1,0,1057
"202","cbsnyt",1,"9152",1,44,3,2,1,0,300
"203","cbsnyt",1,"9152",1,3,3,3,1,0,520
"204","cbsnyt",1,"9152",0,39,3,3,1,1,1006
"205","cbsnyt",1,"9152",0,36,4,3,0,0,879
"206","cbsnyt",1,"9152",0,7,2,1,0,0,4341
"207","cbsnyt",1,"9152",1,39,3,4,1,0,893
"208","cbsnyt",1,"9152",1,31,2,2,1,0,701
"209","cbsnyt",1,"9152",1,7,2,2,0,0,1558
"210","cbsnyt",1,"9152",1,10,2,3,0,0,1255
"211","cbsnyt",1,"9152",0,49,2,4,0,0,2495
"212","cbsnyt",1,"9152",0,22,3,3,0,0,744
"213","cbsnyt",1,"9152",1,33,2,2,0,0,1558
"214","cbsnyt",1,"9152",1,39,2,2,0,0,779
"215","cbsnyt",1,"9152",1,22,3,3,0,0,744
"216","cbsnyt",1,"9152",0,7,4,3,0,0,1167
"217","cbsnyt",1,"9152",0,33,4,2,1,0,205
"218","cbsnyt",1,"9152",0,16,3,2,0,0,589
"219","cbsnyt",1,"9152",NA,31,2,3,1,0,661
"220","cbsnyt",1,"9152",1,5,3,3,1,0,1040
"221","cbsnyt",1,"9152",1,33,4,1,0,0,2353
"222","cbsnyt",1,"9152",1,39,4,1,0,0,784
"223","cbsnyt",1,"9152",1,44,4,1,0,0,670
"224","cbsnyt",1,"9152",0,33,4,2,1,0,820
"225","cbsnyt",1,"9152",1,10,2,1,1,0,1335
"226","cbsnyt",1,"9152",1,33,2,3,0,0,2204
"227","cbsnyt",1,"9152",1,43,4,3,1,0,1196
"228","cbsnyt",1,"9152",1,23,2,4,1,0,661
"229","cbsnyt",1,"9152",NA,31,1,3,0,0,3673
"230","cbsnyt",1,"9152",NA,33,2,3,1,0,1984
"231","cbsnyt",1,"9152",0,39,3,2,1,0,704
"232","cbsnyt",1,"9152",0,33,1,1,0,0,5209
"233","cbsnyt",1,"9152",0,39,3,1,0,0,1051
"234","cbsnyt",1,"9152",1,20,4,1,0,0,784
"235","cbsnyt",1,"9152",0,33,4,3,0,0,583
"236","cbsnyt",1,"9152",0,50,4,3,1,0,264
"237","cbsnyt",1,"9152",0,39,2,1,0,0,1736
"238","cbsnyt",1,"9152",0,33,2,3,0,0,1469
"239","cbsnyt",1,"9152",0,7,2,2,0,0,779
"240","cbsnyt",1,"9152",1,34,2,1,1,0,668
"241","cbsnyt",1,"9152",1,33,4,2,1,0,410
"242","cbsnyt",1,"9152",0,22,2,1,0,0,4341
"243","cbsnyt",1,"9152",1,4,2,2,1,0,1198
"244","cbsnyt",1,"9152",1,39,2,3,1,0,661
"245","cbsnyt",1,"9152",1,36,2,4,1,0,661
"246","cbsnyt",1,"9152",1,31,4,3,1,0,701
"247","cbsnyt",1,"9152",NA,31,3,3,0,0,744
"248","cbsnyt",1,"9152",NA,37,2,1,0,0,1483
"249","cbsnyt",1,"9152",1,17,2,3,1,0,997
"250","cbsnyt",1,"9152",0,19,3,3,1,0,859
"251","cbsnyt",1,"9152",0,23,4,4,1,0,411
"252","cbsnyt",1,"9152",1,23,3,3,0,0,561
"253","cbsnyt",1,"9152",0,38,4,1,0,0,913
"254","cbsnyt",1,"9152",1,33,1,4,0,0,1948
"255","cbsnyt",1,"9152",1,1,4,3,1,0,598
"256","cbsnyt",1,"9152",0,33,3,4,1,0,446
"257","cbsnyt",1,"9152",0,31,3,3,1,0,670
"258","cbsnyt",1,"9152",0,40,2,4,1,0,1754
"259","cbsnyt",1,"9152",0,39,2,3,1,0,1323
"260","cbsnyt",1,"9152",1,39,4,2,1,0,820
"261","cbsnyt",1,"9152",0,31,4,3,1,0,350
"262","cbsnyt",1,"9152",0,23,2,3,1,0,498
"263","cbsnyt",1,"9152",1,14,3,1,0,0,1188
"264","cbsnyt",1,"9152",1,44,2,4,1,0,749
"265","cbsnyt",1,"9152",0,22,2,3,1,0,661
"266","cbsnyt",1,"9152",0,23,3,2,1,0,530
"267","cbsnyt",1,"9152",1,18,3,1,1,0,1213
"268","cbsnyt",1,"9152",0,47,1,4,1,1,1124
"269","cbsnyt",1,"9152",0,36,2,4,1,0,1322
"270","cbsnyt",1,"9152",0,7,2,3,1,0,1984
"271","cbsnyt",1,"9152",0,22,2,2,0,0,779
"272","cbsnyt",1,"9152",0,33,4,3,1,0,350
"273","cbsnyt",1,"9152",0,39,3,1,1,0,947
"274","cbsnyt",1,"9152",0,45,2,1,1,0,1213
"275","cbsnyt",1,"9152",1,50,2,4,1,1,1983
"276","cbsnyt",1,"9152",0,33,3,3,1,0,670
"277","cbsnyt",1,"9152",1,39,4,3,0,0,778
"278","cbsnyt",1,"9152",0,26,3,3,0,1,642
"279","cbsnyt",1,"9152",1,14,3,4,1,0,673
"280","cbsnyt",1,"9152",0,7,4,1,0,0,784
"281","cbsnyt",1,"9152",NA,10,2,2,0,0,665
"282","cbsnyt",1,"9152",NA,39,2,3,1,0,661
"283","cbsnyt",1,"9152",1,17,2,1,1,0,1178
"284","cbsnyt",1,"9152",1,10,4,1,1,0,302
"285","cbsnyt",1,"9152",0,22,2,1,1,0,782
"286","cbsnyt",1,"9152",0,14,2,2,0,0,1174
"287","cbsnyt",1,"9152",1,31,4,1,1,0,706
"288","cbsnyt",1,"9152",1,33,1,3,1,0,661
"289","cbsnyt",1,"9152",0,50,1,3,1,0,997
"290","cbsnyt",1,"9152",NA,11,4,2,1,0,700
"291","cbsnyt",1,"9152",1,48,4,2,0,0,706
"292","cbsnyt",1,"9152",NA,10,4,4,1,0,466
"293","cbsnyt",1,"9152",1,44,2,2,0,1,3044
"294","cbsnyt",1,"9152",1,42,3,4,1,0,336
"295","cbsnyt",1,"9152",0,39,2,3,1,0,2646
"296","cbsnyt",1,"9152",1,1,2,2,1,0,1198
"297","cbsnyt",1,"9152",0,22,4,2,1,0,410
"298","cbsnyt",1,"9152",0,15,2,2,0,0,587
"299","cbsnyt",1,"9152",NA,26,1,4,1,0,1322
"300","cbsnyt",1,"9152",1,22,2,2,0,0,1558
"301","cbsnyt",1,"9152",0,33,4,4,1,0,1091
"302","cbsnyt",1,"9152",0,43,2,3,0,0,1882
"303","cbsnyt",1,"9152",0,14,3,2,1,0,530
"304","cbsnyt",1,"9152",1,31,4,1,0,0,392
"305","cbsnyt",1,"9152",NA,41,4,1,1,1,905
"306","cbsnyt",1,"9152",1,26,3,1,0,0,1188
"307","cbsnyt",1,"9152",0,23,3,4,1,0,336
"308","cbsnyt",1,"9152",0,50,4,2,1,0,618
"309","cbsnyt",1,"9152",0,50,3,2,0,0,294
"310","cbsnyt",1,"9152",0,39,1,3,0,1,3362
"311","cbsnyt",1,"9152",1,35,3,2,0,0,294
"312","cbsnyt",1,"9152",1,15,3,2,1,0,530
"313","cbsnyt",1,"9152",1,44,4,3,0,0,664
"314","cbsnyt",1,"9152",1,26,4,2,0,0,686
"315","cbsnyt",1,"9152",1,19,1,3,0,0,1255
"316","cbsnyt",1,"9152",0,15,2,2,0,0,1174
"317","cbsnyt",1,"9152",1,39,4,1,0,0,784
"318","cbsnyt",1,"9152",0,25,2,1,1,1,5010
"319","cbsnyt",1,"9152",1,31,2,4,1,0,877
"320","cbsnyt",1,"9152",0,26,4,4,1,0,1234
"321","cbsnyt",1,"9152",1,22,4,2,1,0,410
"322","cbsnyt",1,"9152",1,50,3,2,1,0,530
"323","cbsnyt",1,"9152",0,14,3,2,1,0,530
"324","cbsnyt",1,"9152",0,15,2,1,0,0,1308
"325","cbsnyt",1,"9152",1,14,4,3,1,0,396
"326","cbsnyt",1,"9152",NA,24,2,3,1,0,997
"327","cbsnyt",1,"9152",1,36,2,1,1,0,1178
"328","cbsnyt",1,"9152",1,47,1,3,1,0,1130
"329","cbsnyt",1,"9152",1,23,4,3,1,0,792
"330","cbsnyt",1,"9152",1,23,2,2,1,0,1057
"331","cbsnyt",1,"9152",1,15,3,1,0,0,1584
"332","cbsnyt",1,"9152",NA,26,1,2,0,0,1469
"333","cbsnyt",1,"9152",NA,21,2,4,1,0,749
"334","cbsnyt",1,"9152",1,15,4,1,0,0,591
"335","cbsnyt",1,"9152",1,34,3,2,1,0,601
"336","cbsnyt",1,"9152",1,17,4,3,0,0,440
"337","cbsnyt",1,"9152",1,24,2,4,0,0,734
"338","cbsnyt",1,"9152",1,50,2,1,0,0,1308
"339","cbsnyt",1,"9152",1,14,2,1,0,0,1963
"340","cbsnyt",1,"9152",0,15,4,2,0,0,1029
"341","cbsnyt",1,"9152",1,26,2,2,0,0,1174
"342","cbsnyt",1,"9152",1,31,4,2,1,0,410
"343","cbsnyt",1,"9152",1,44,3,3,0,0,318
"344","cbsnyt",1,"9152",NA,23,3,2,0,0,1178
"345","cbsnyt",1,"9152",0,23,2,2,0,0,587
"346","cbsnyt",1,"9152",0,4,2,2,0,0,1330
"347","cbsnyt",1,"9152",1,14,4,3,0,0,586
"348","cbsnyt",1,"9152",1,37,2,1,1,0,1335
"349","cbsnyt",1,"9152",0,17,3,4,1,0,336
"350","cbsnyt",1,"9152",0,36,2,3,0,0,1107
"351","cbsnyt",1,"9152",1,7,4,1,0,0,392
"352","cbsnyt",1,"9152",0,23,4,2,1,0,309
"353","cbsnyt",1,"9152",1,23,3,3,0,0,561
"354","cbsnyt",1,"9152",1,17,2,2,0,0,1174
"355","cbsnyt",1,"9152",1,41,2,3,1,0,3389
"356","cbsnyt",1,"9152",1,17,4,1,1,0,532
"357","cbsnyt",1,"9152",0,5,1,3,0,0,1140
"358","cbsnyt",1,"9152",0,24,2,1,1,0,1178
"359","cbsnyt",1,"9152",0,14,4,2,1,0,1235
"360","cbsnyt",1,"9152",0,23,3,2,0,0,589
"361","cbsnyt",1,"9152",1,14,4,2,0,0,686
"362","cbsnyt",1,"9152",1,36,3,1,0,0,792
"363","cbsnyt",1,"9152",0,21,2,1,1,1,1002
"364","cbsnyt",1,"9152",1,34,3,3,0,0,636
"365","cbsnyt",1,"9152",0,22,4,1,1,0,706
"366","cbsnyt",1,"9152",NA,26,3,3,1,1,379
"367","cbsnyt",1,"9152",0,14,3,3,0,1,642
"368","cbsnyt",1,"9152",0,14,2,2,0,0,1174
"369","cbsnyt",1,"9152",0,36,4,2,1,0,309
"370","cbsnyt",1,"9152",1,44,4,2,1,0,700
"371","cbsnyt",1,"9152",1,10,4,2,0,0,389
"372","cbsnyt",1,"9152",1,47,1,1,0,0,1483
"373","cbsnyt",1,"9152",1,44,3,2,1,0,601
"374","cbsnyt",1,"9152",1,11,2,2,1,0,1198
"375","cbsnyt",1,"9152",1,1,2,3,0,0,1255
"376","cbsnyt",1,"9152",1,50,1,2,1,1,1985
"377","cbsnyt",1,"9152",1,16,3,4,0,0,373
"378","cbsnyt",1,"9152",1,26,4,2,0,0,686
"379","cbsnyt",1,"9152",1,1,3,1,1,1,607
"380","cbsnyt",1,"9152",1,14,2,3,1,0,498
"381","cbsnyt",1,"9152",1,36,4,1,1,1,799
"382","cbsnyt",1,"9152",NA,22,4,2,1,0,820
"383","cbsnyt",1,"9152",1,44,2,2,1,0,1198
"384","cbsnyt",1,"9152",0,14,2,2,0,0,1174
"385","cbsnyt",1,"9152",NA,41,4,2,0,1,1779
"386","cbsnyt",1,"9152",0,10,2,4,1,0,1498
"387","cbsnyt",1,"9152",1,42,1,4,0,0,734
"388","cbsnyt",1,"9152",1,26,1,4,1,0,1322
"389","cbsnyt",1,"9152",0,21,1,2,1,1,2250
"390","cbsnyt",1,"9152",1,37,2,2,1,0,1198
"391","cbsnyt",1,"9152",NA,10,2,4,1,0,749
"392","cbsnyt",1,"9152",1,18,2,2,1,0,599
"393","cbsnyt",1,"9152",NA,26,4,2,1,0,618
"394","cbsnyt",1,"9152",1,44,4,1,1,0,603
"395","cbsnyt",1,"9152",0,14,3,2,1,0,265
"396","cbsnyt",1,"9152",1,15,4,1,0,0,886
"397","cbsnyt",1,"9152",0,19,4,4,0,0,1035
"398","cbsnyt",1,"9152",0,49,4,1,1,0,603
"399","cbsnyt",1,"9152",1,17,2,3,0,0,1107
"400","cbsnyt",1,"9152",1,19,2,3,0,0,1255
"401","cbsnyt",1,"9152",1,19,3,2,1,0,601
"402","cbsnyt",1,"9152",1,14,3,3,0,0,841
"403","cbsnyt",1,"9152",1,36,4,3,0,0,879
"404","cbsnyt",1,"9152",1,16,4,2,0,0,343
"405","cbsnyt",1,"9152",1,42,1,4,1,0,661
"406","cbsnyt",1,"9152",1,23,3,2,1,0,795
"407","cbsnyt",1,"9152",1,25,1,2,0,0,1665
"408","cbsnyt",1,"9152",1,17,1,2,0,0,1469
"409","cbsnyt",1,"9152",0,43,1,4,1,0,749
"410","cbsnyt",1,"9152",0,4,2,1,1,0,1335
"411","cbsnyt",1,"9152",0,11,3,1,1,1,1213
"412","cbsnyt",1,"9152",1,11,4,3,1,0,598
"413","cbsnyt",1,"9152",1,44,4,2,1,0,700
"414","cbsnyt",1,"9152",1,49,4,2,1,0,350
"415","cbsnyt",1,"9152",0,18,2,4,1,0,749
"416","cbsnyt",1,"9152",1,1,3,3,1,0,572
"417","cbsnyt",1,"9152",1,24,2,4,1,0,661
"418","cbsnyt",1,"9152",1,4,4,2,1,0,700
"419","cbsnyt",1,"9152",1,25,3,2,1,0,300
"420","cbsnyt",1,"9152",1,49,2,1,1,0,2003
"421","cbsnyt",1,"9152",1,14,2,1,1,0,1178
"422","cbsnyt",1,"9152",1,32,2,3,0,0,1140
"423","cbsnyt",1,"9152",1,36,3,2,1,0,795
"424","cbsnyt",1,"9152",1,44,2,2,1,0,599
"425","cbsnyt",1,"9152",1,44,4,2,1,0,700
"426","cbsnyt",1,"9152",0,11,3,3,0,0,636
"427","cbsnyt",1,"9152",0,43,1,2,1,0,2249
"428","cbsnyt",1,"9152",1,18,3,2,0,0,667
"429","cbsnyt",1,"9152",NA,24,2,4,1,0,1982
"430","cbsnyt",1,"9152",NA,11,1,1,0,0,2965
"431","cbsnyt",1,"9152",NA,44,3,1,0,0,224
"432","cbsnyt",1,"9152",1,14,2,3,1,0,498
"433","cbsnyt",1,"9152",1,50,2,3,1,0,997
"434","cbsnyt",1,"9152",1,44,4,2,1,0,1050
"435","cbsnyt",1,"9152",1,19,4,2,1,0,700
"436","cbsnyt",1,"9152",1,5,2,3,0,0,1140
"437","cbsnyt",1,"9152",1,44,4,2,0,0,777
"438","cbsnyt",1,"9152",0,5,4,3,0,0,604
"439","cbsnyt",1,"9152",1,3,3,2,0,0,606
"440","cbsnyt",1,"9152",0,44,3,1,1,0,808
"441","cbsnyt",1,"9152",1,25,4,2,0,0,777
"442","cbsnyt",1,"9152",1,1,3,2,1,1,902
"443","cbsnyt",1,"9152",0,18,2,3,1,0,565
"444","cbsnyt",1,"9152",0,44,2,3,0,0,1882
"445","cbsnyt",1,"9152",NA,5,3,3,1,0,520
"446","cbsnyt",1,"9152",0,5,2,1,1,0,607
"447","cbsnyt",1,"9152",0,6,4,3,0,0,604
"448","cbsnyt",1,"9152",0,26,2,2,0,0,1174
"449","cbsnyt",1,"9152",0,6,4,1,1,0,1096
"450","cbsnyt",1,"9152",0,50,3,1,1,0,713
"451","cbsnyt",1,"9152",1,38,4,1,1,0,274
"452","cbsnyt",1,"9152",0,24,2,3,1,0,498
"453","cbsnyt",1,"9152",0,1,4,2,0,0,777
"454","cbsnyt",1,"9152",1,25,2,3,1,0,1130
"455","cbsnyt",1,"9152",0,5,2,4,1,0,680
"456","cbsnyt",1,"9152",0,5,3,3,0,0,289
"457","cbsnyt",1,"9152",0,48,1,2,1,0,1362
