"vegtype" "burn01" "burn02" "burn03" "totalseeds" "seedlings"
"72" "oldfieldcool" "yes" "no" "no" 100  5
"73" "oldfieldcool" "no" "yes" "no" 100  3
"74" "oldfieldcool" "no" "yes" "no" 100  4
"75" "oldfieldcool" "no" "yes" "no" 100  3
"76" "oldfieldcool" "no" "no" "no" 100  0
"77" "oldfieldcool" "no" "no" "no" 100  0
"78" "oldfieldcool" "no" "no" "no" 100  0
"79" "oldfieldcool" "yes" "no" "no" 100  3
"80" "oldfieldcool" "yes" "no" "no" 100  6
"81" "oldfieldcool" "yes" "no" "no" 100 10
"82" "oldfieldcool" "no" "yes" "no" 100  2
"83" "oldfieldcool" "no" "yes" "no" 100  7
"84" "oldfieldcool" "no" "yes" "no" 100  1
"85" "oldfieldcool" "yes" "no" "no" 100  3
"86" "oldfieldcool" "yes" "no" "no" 100  6
"87" "oldfieldcool" "yes" "no" "no" 100  9
"88" "oldfieldcool" "no" "no" "no" 100  0
"89" "oldfieldcool" "no" "no" "no" 100  0
"90" "oldfieldcool" "no" "no" "no" 100  0
"91" "oldfieldwarm" "no" "yes" "no" 100  0
"92" "oldfieldwarm" "no" "yes" "no" 100  1
"93" "oldfieldwarm" "no" "yes" "no" 100  2
"94" "oldfieldwarm" "no" "no" "no" 100  2
"95" "oldfieldwarm" "no" "no" "no" 100  6
"96" "oldfieldwarm" "no" "no" "no" 100  3
"97" "oldfieldwarm" "yes" "no" "no" 100  5
"98" "oldfieldwarm" "yes" "no" "no" 100  2
"99" "oldfieldwarm" "yes" "no" "no" 100  0
"100" "oldfieldwarm" "no" "yes" "no" 100  8
"101" "oldfieldwarm" "no" "yes" "no" 100  3
"102" "oldfieldwarm" "no" "yes" "no" 100 16
"103" "oldfieldwarm" "yes" "no" "no" 100  0
"104" "oldfieldwarm" "yes" "no" "no" 100  0
"105" "oldfieldwarm" "yes" "no" "no" 100  6
"106" "oldfieldwarm" "no" "no" "no" 100  0
"107" "oldfieldwarm" "no" "no" "no" 100  0
"108" "oldfieldwarm" "no" "no" "no" 100  0
"109" "plantwarm" "yes" "no" "no" 100  0
"110" "plantwarm" "yes" "no" "no" 100  0
"111" "plantwarm" "yes" "no" "no" 100  0
"112" "plantwarm" "no" "yes" "no" 100  0
"113" "plantwarm" "no" "yes" "no" 100  0
"114" "plantwarm" "no" "yes" "no" 100  0
"115" "plantwarm" "no" "no" "no" 100  0
"116" "plantwarm" "no" "no" "no" 100  0
"117" "plantwarm" "no" "no" "no" 100  0
"118" "plantwarm" "no" "no" "no" 100  0
"119" "plantwarm" "no" "no" "no" 100  0
"120" "plantwarm" "no" "no" "no" 100  0
"121" "plantwarm" "no" "yes" "no" 100  0
"122" "plantwarm" "no" "yes" "no" 100  0
"123" "plantwarm" "no" "yes" "no" 100  0
"124" "plantwarm" "yes" "no" "no" 100  0
"125" "plantwarm" "yes" "no" "no" 100  0
"126" "plantwarm" "yes" "no" "no" 100  0
"127" "plantwarm" "yes" "no" "no" 100  7
"128" "plantwarm" "yes" "no" "no" 100  1
"129" "plantwarm" "yes" "no" "no" 100  0
"130" "plantwarm" "yes" "no" "no" 100  4
"131" "plantwarm" "yes" "no" "no" 100  1
"132" "plantwarm" "yes" "no" "no" 100  0
"133" "plantwarm" "no" "no" "no" 100  8
"134" "plantwarm" "no" "no" "no" 100  6
"135" "plantwarm" "no" "no" "no" 100  6
"136" "plantwarm" "yes" "no" "no" 100  0
"137" "plantwarm" "yes" "no" "no" 100  0
"138" "plantwarm" "yes" "no" "no" 100  1
"139" "plantwarm" "yes" "no" "no" 100  3
"140" "plantwarm" "yes" "no" "no" 100  2
"141" "plantwarm" "yes" "no" "no" 100  3
"142" "plantwarm" "no" "no" "no" 100  3
"143" "plantwarm" "no" "no" "no" 100  0
"144" "plantwarm" "no" "no" "no" 100  6
"145" "plantcool" "no" "no" "yes" 100  0
"146" "plantcool" "no" "no" "yes" 100  0
"147" "plantcool" "no" "no" "yes" 100  1
"148" "plantcool" "no" "yes" "yes" 100  1
"149" "plantcool" "no" "yes" "yes" 100  0
"150" "plantcool" "no" "yes" "yes" 100  0
"151" "plantcool" "yes" "no" "yes" 100  0
"152" "plantcool" "yes" "no" "yes" 100  0
"153" "plantcool" "yes" "no" "yes" 100  0
"154" "plantcool" "no" "yes" "yes" 100  1
"155" "plantcool" "no" "yes" "yes" 100  1
"156" "plantcool" "no" "yes" "yes" 100  0
"157" "plantcool" "no" "no" "yes" 100  0
"158" "plantcool" "no" "no" "yes" 100  1
"159" "plantcool" "no" "no" "yes" 100  0
"160" "plantcool" "yes" "no" "yes" 100  0
"161" "plantcool" "yes" "no" "yes" 100  0
"162" "plantcool" "yes" "no" "yes" 100  2
"163" "plantcool" "yes" "no" "yes" 100  0
"164" "plantcool" "yes" "no" "yes" 100  1
"165" "plantcool" "yes" "no" "yes" 100  1
"166" "plantcool" "no" "no" "yes" 100  0
"167" "plantcool" "no" "no" "yes" 100  0
"168" "plantcool" "no" "no" "yes" 100  0
"169" "plantcool" "no" "yes" "yes" 100  2
"170" "plantcool" "no" "yes" "yes" 100  3
"171" "plantcool" "no" "yes" "yes" 100  1
"172" "plantcool" "no" "no" "yes" 100  0
"173" "plantcool" "no" "no" "yes" 100  0
"174" "plantcool" "no" "no" "yes" 100  1
"175" "plantcool" "no" "yes" "yes" 100  0
"176" "plantcool" "no" "yes" "yes" 100  1
"177" "plantcool" "no" "yes" "yes" 100  5
"178" "plantcool" "yes" "no" "yes" 100  0
"179" "plantcool" "yes" "no" "yes" 100  0
"180" "plantcool" "yes" "no" "yes" 100  1
"181" "lab" "lab" "lab" "lab" 101 19
"182" "lab" "lab" "lab" "lab"  99 19
"183" "lab" "lab" "lab" "lab"  97 16
"184" "lab" "lab" "lab" "lab" 104 26
"185" "lab" "lab" "lab" "lab"  96 16
"186" "lab" "lab" "lab" "lab"  99 28
"187" "lab" "lab" "lab" "lab" 106 19
"188" "lab" "lab" "lab" "lab" 111 20
"189" "lab" "lab" "lab" "lab" 101 15
"190" "lab" "lab" "lab" "lab" 106 25
"191" "lab" "lab" "lab" "lab" 102 18
"192" "lab" "lab" "lab" "lab" 100 13
"193" "lab" "lab" "lab" "lab" 103 19
"194" "lab" "lab" "lab" "lab" 101 16
"195" "lab" "lab" "lab" "lab" 103 29
