Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category,District Office Location
2012,2008,0063,Akron Westfield,41,42,97.62,95.01 - 100.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.8328236800005, -96.55041295999968)"
2013,2009,0063,Akron Westfield,35,36,97.22,95.01 - 100.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.8328236800005, -96.55041295999968)"
2014,2010,0063,Akron Westfield,34,35,97.14,95.01 - 100.00%,"850 Kerr Dr
Akron, Iowa 51001
(42.83282368000005, -96.55041295999996)"
2009,2005,0081,Albia,75,81,92.59,90.01 - 95.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300045, -92.80001726699965)"
2010,2006,0081,Albia,93,98,94.90,90.01 - 95.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300045, -92.80001726699965)"
2011,2007,0081,Albia,94,98,95.92,95.01 - 100.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300045, -92.80001726699965)"
2012,2008,0081,Albia,67,74,90.54,90.01 - 95.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300045, -92.80001726699965)"
2013,2009,0081,Albia,69,74,93.24,90.01 - 95.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300045, -92.80001726699965)"
2014,2010,0081,Albia,87,95,91.58,90.01 - 95.00%,"701 Washington Ave E
Albia, Iowa 52531
(41.02623118300005, -92.80001726699999)"
2009,2005,0099,Alburnett,58,63,92.06,90.01 - 95.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.149496900000486, -91.61998989399967)"
2010,2006,0099,Alburnett,35,38,92.11,90.01 - 95.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.149496900000486, -91.61998989399967)"
2011,2007,0099,Alburnett,44,48,91.67,90.01 - 95.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.149496900000486, -91.61998989399967)"
2012,2008,0099,Alburnett,42,44,95.45,95.01 - 100.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.149496900000486, -91.61998989399967)"
2013,2009,0099,Alburnett,50,54,92.59,90.01 - 95.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.149496900000486, -91.61998989399967)"
2014,2010,0099,Alburnett,49,52,94.23,90.01 - 95.00%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.14949690000003, -91.61998989399996)"
2009,2005,0126,Algona,87,102,85.29,85.01 - 90.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800046, -94.22322543599967)"
2010,2006,0126,Algona,105,116,90.52,90.01 - 95.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800046, -94.22322543599967)"
2011,2007,0126,Algona,107,114,93.86,90.01 - 95.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800046, -94.22322543599967)"
2012,2008,0126,Algona,111,119,93.28,90.01 - 95.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800046, -94.22322543599967)"
2013,2009,0126,Algona,93,100,93.00,90.01 - 95.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800046, -94.22322543599967)"
2014,2010,0126,Algona,94,101,93.07,90.01 - 95.00%,"600 S. Hale Street
Algona, Iowa 50511
(43.06459146800006, -94.22322543599995)"
2009,2005,0135,Allamakee,116,117,99.15,95.01 - 100.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.2718989760005, -91.49059270399965)"
2010,2006,0135,Allamakee,123,124,99.19,95.01 - 100.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.2718989760005, -91.49059270399965)"
2011,2007,0135,Allamakee,130,132,98.48,95.01 - 100.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.2718989760005, -91.49059270399965)"
2012,2008,0135,Allamakee,108,110,98.18,95.01 - 100.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.2718989760005, -91.49059270399965)"
2013,2009,0135,Allamakee,100,106,94.34,90.01 - 95.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.2718989760005, -91.49059270399965)"
2014,2010,0135,Allamakee,90,92,97.83,95.01 - 100.00%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.271898976000045, -91.49059270499998)"
2009,2005,0171,Alta,40,43,93.02,90.01 - 95.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900045, -95.30428948699966)"
2010,2006,0171,Alta,40,40,100.00,95.01 - 100.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900045, -95.30428948699966)"
2011,2007,0171,Alta,39,46,84.78,80.01 - 85.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900045, -95.30428948699966)"
2012,2008,0171,Alta,61,63,96.83,95.01 - 100.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900045, -95.30428948699966)"
2013,2009,0171,Alta,51,51,100.00,95.01 - 100.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900045, -95.30428948699966)"
2014,2010,0171,Alta,40,40,100.00,95.01 - 100.00%,"101 W 5th St
Alta, Iowa 51002
(42.67051186900005, -95.30428948799994)"
2009,2005,0225,Ames,323,354,91.24,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.0179212970005, -93.64854746099968)"
2010,2006,0225,Ames,329,362,90.88,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.0179212970005, -93.64854746099968)"
2011,2007,0225,Ames,309,330,93.64,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.0179212970005, -93.64854746099968)"
2012,2008,0225,Ames,283,310,91.29,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.0179212970005, -93.64854746099968)"
2013,2009,0225,Ames,292,321,90.97,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.0179212970005, -93.64854746099968)"
2014,2010,0225,Ames,296,320,92.50,90.01 - 95.00%,"415 Stanton Ave
Ames, Iowa 50014
(42.017921296000054, -93.64854746099996)"
2009,2005,0234,Anamosa,109,118,92.37,90.01 - 95.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300047, -91.28682614499968)"
2010,2006,0234,Anamosa,104,108,96.30,95.01 - 100.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300047, -91.28682614499968)"
2011,2007,0234,Anamosa,99,108,91.67,90.01 - 95.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300047, -91.28682614499968)"
2012,2008,0234,Anamosa,101,112,90.18,90.01 - 95.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300047, -91.28682614499968)"
2013,2009,0234,Anamosa,112,123,91.06,90.01 - 95.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300047, -91.28682614499968)"
2014,2010,0234,Anamosa,81,91,89.01,85.01 - 90.00%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.10622320300007, -91.28682614499996)"
2009,2005,0243,Andrew,29,29,100.00,95.01 - 100.00%,"13 S Marion
Andrew, Iowa 52030
(42.15273290300047, -90.59124822199965)"
2010,2006,0243,Andrew,21,23,91.30,90.01 - 95.00%,"13 S Marion
Andrew, Iowa 52030
(42.15273290300047, -90.59124822199965)"
2011,2007,0243,Andrew,25,26,96.15,95.01 - 100.00%,"13 S Marion
Andrew, Iowa 52030
(42.15273290300047, -90.59124822199965)"
2009,2005,0252,Anita,36,38,94.74,90.01 - 95.00%,"1000 Victory Park Rd
Anita, Iowa 50020
(41.4511760850005, -94.77242924999967)"
2010,2006,0252,Anita,27,27,100.00,95.01 - 100.00%,"1000 Victory Park Rd
Anita, Iowa 50020
(41.4511760850005, -94.77242924999967)"
2011,2007,0252,Anita,45,45,100.00,95.01 - 100.00%,"1000 Victory Park Rd
Anita, Iowa 50020
(41.4511760850005, -94.77242924999967)"
2009,2005,0261,Ankeny,439,461,95.23,95.01 - 100.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.729421311000465, -93.60330828599967)"
2010,2006,0261,Ankeny,454,475,95.58,95.01 - 100.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.729421311000465, -93.60330828599967)"
2011,2007,0261,Ankeny,469,505,92.87,90.01 - 95.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.729421311000465, -93.60330828599967)"
2012,2008,0261,Ankeny,478,515,92.82,90.01 - 95.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.729421311000465, -93.60330828599967)"
2013,2009,0261,Ankeny,473,510,92.75,90.01 - 95.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.729421311000465, -93.60330828599967)"
2014,2010,0261,Ankeny,558,592,94.26,90.01 - 95.00%,"306 SW School Street
Ankeny, Iowa 50023
(41.72942131100007, -93.60330828699995)"
2009,2005,0279,Aplington-Parkersburg,56,57,98.25,95.01 - 100.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700049, -92.78104184799969)"
2010,2006,0279,Aplington-Parkersburg,54,57,94.74,90.01 - 95.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700049, -92.78104184799969)"
2011,2007,0279,Aplington-Parkersburg,50,55,90.91,90.01 - 95.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700049, -92.78104184799969)"
2012,2008,0279,Aplington-Parkersburg,67,68,98.53,95.01 - 100.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700049, -92.78104184799969)"
2013,2009,0279,Aplington-Parkersburg,72,73,98.63,95.01 - 100.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700049, -92.78104184799969)"
2014,2010,0279,Aplington-Parkersburg,58,58,100.00,95.01 - 100.00%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.57435847700003, -92.78104184799997)"
2009,2005,0333,Armstrong-Ringsted,19,23,82.61,80.01 - 85.00%,"600 4th Ave
Armstrong, Iowa 50514
(43.39839017300045, -94.48012426699967)"
2010,2006,0333,Armstrong-Ringsted,34,34,100.00,95.01 - 100.00%,"600 4th Ave
Armstrong, Iowa 50514
(43.39839017300045, -94.48012426699967)"
2011,2007,0333,Armstrong-Ringsted,16,16,100.00,95.01 - 100.00%,"600 4th Ave
Armstrong, Iowa 50514
(43.39839017300045, -94.48012426699967)"
2012,2008,0333,Armstrong-Ringsted,29,31,93.55,90.01 - 95.00%,"600 4th Ave
Armstrong, Iowa 50514
(43.39839017300045, -94.48012426699967)"
2013,2009,0333,Armstrong-Ringsted,51,52,98.08,95.01 - 100.00%,"600 4th Ave
Armstrong, Iowa 50514
(43.39839017300045, -94.48012426699967)"
2009,2005,0355,Ar-We-Va,31,32,96.88,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.07519200700045, -95.10077745099966)"
2010,2006,0355,Ar-We-Va,30,30,100.00,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.07519200700045, -95.10077745099966)"
2011,2007,0355,Ar-We-Va,23,23,100.00,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.07519200700045, -95.10077745099966)"
2012,2008,0355,Ar-We-Va,20,21,95.24,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.07519200700045, -95.10077745099966)"
2013,2009,0355,Ar-We-Va,27,27,100.00,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.07519200700045, -95.10077745099966)"
2014,2010,0355,Ar-We-Va,15,15,100.00,95.01 - 100.00%,"108 Clinton St
Westside, Iowa 51467
(42.075192007000055, -95.10077745099994)"
2009,2005,0387,Atlantic,115,137,83.94,80.01 - 85.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500047, -95.00749447699968)"
2010,2006,0387,Atlantic,94,116,81.03,80.01 - 85.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500047, -95.00749447699968)"
2011,2007,0387,Atlantic,107,121,88.43,85.01 - 90.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500047, -95.00749447699968)"
2012,2008,0387,Atlantic,93,110,84.55,80.01 - 85.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500047, -95.00749447699968)"
2013,2009,0387,Atlantic,82,92,89.13,85.01 - 90.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500047, -95.00749447699968)"
2014,2010,0387,Atlantic,93,106,87.74,85.01 - 90.00%,"1100 Linn St
Atlantic, Iowa 50022
(41.39992029500007, -95.00749447599998)"
2009,2005,0414,Audubon,56,58,96.55,95.01 - 100.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600046, -94.92265710299966)"
2010,2006,0414,Audubon,59,62,95.16,95.01 - 100.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600046, -94.92265710299966)"
2011,2007,0414,Audubon,57,61,93.44,90.01 - 95.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600046, -94.92265710299966)"
2012,2008,0414,Audubon,47,49,95.92,95.01 - 100.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600046, -94.92265710299966)"
2013,2009,0414,Audubon,53,53,100.00,95.01 - 100.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600046, -94.92265710299966)"
2014,2010,0414,Audubon,40,41,97.56,95.01 - 100.00%,"800 3rd Ave
Audubon, Iowa 50025
(41.71497303600006, -94.92265710299995)"
2009,2005,0423,Aurelia,23,23,100.00,95.01 - 100.00%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202000046, -95.42973423399968)"
2010,2006,0423,Aurelia,26,26,100.00,95.01 - 100.00%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202000046, -95.42973423399968)"
2011,2007,0423,Aurelia,11,12,91.67,90.01 - 95.00%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202000046, -95.42973423399968)"
2009,2005,0472,Ballard,99,101,98.02,95.01 - 100.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949100048, -93.6062471949997)"
2010,2006,0472,Ballard,112,118,94.92,90.01 - 95.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949100048, -93.6062471949997)"
2011,2007,0472,Ballard,113,116,97.41,95.01 - 100.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949100048, -93.6062471949997)"
2012,2008,0472,Ballard,113,115,98.26,95.01 - 100.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949100048, -93.6062471949997)"
2013,2009,0472,Ballard,106,108,98.15,95.01 - 100.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949100048, -93.6062471949997)"
2014,2010,0472,Ballard,106,112,94.64,90.01 - 95.00%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.89742949200007, -93.60624719599997)"
2009,2005,0504,Battle Creek-Ida Grove,61,63,96.83,95.01 - 100.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.33584161100049, -95.46349041599967)"
2010,2006,0504,Battle Creek-Ida Grove,76,78,97.44,95.01 - 100.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.33584161100049, -95.46349041599967)"
2011,2007,0504,Battle Creek-Ida Grove,73,75,97.33,95.01 - 100.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.33584161100049, -95.46349041599967)"
2012,2008,0504,Battle Creek-Ida Grove,72,73,98.63,95.01 - 100.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.33584161100049, -95.46349041599967)"
2013,2009,0504,Battle Creek-Ida Grove,67,69,97.10,95.01 - 100.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.33584161100049, -95.46349041599967)"
2014,2010,0504,Battle Creek-Ida Grove,74,78,94.87,90.01 - 95.00%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.335841611000035, -95.46349041599996)"
2009,2005,0513,Baxter,34,37,91.89,90.01 - 95.00%,"202 E State
Baxter, Iowa 50028
(41.826357902000495, -93.14937091199965)"
2010,2006,0513,Baxter,33,34,97.06,95.01 - 100.00%,"202 E State
Baxter, Iowa 50028
(41.826357902000495, -93.14937091199965)"
2011,2007,0513,Baxter,33,36,91.67,90.01 - 95.00%,"202 E State
Baxter, Iowa 50028
(41.826357902000495, -93.14937091199965)"
2012,2008,0513,Baxter,22,24,91.67,90.01 - 95.00%,"202 E State
Baxter, Iowa 50028
(41.826357902000495, -93.14937091199965)"
2013,2009,0513,Baxter,35,35,100.00,95.01 - 100.00%,"202 E State
Baxter, Iowa 50028
(41.826357902000495, -93.14937091199965)"
2014,2010,0513,Baxter,33,33,100.00,95.01 - 100.00%,"202 E State
Baxter, Iowa 50028
(41.82635790100005, -93.14937091299998)"
2009,2005,0540,BCLUW,59,61,96.72,95.01 - 100.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703200049, -92.86723330099966)"
2010,2006,0540,BCLUW,45,55,81.82,80.01 - 85.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703200049, -92.86723330099966)"
2011,2007,0540,BCLUW,39,42,92.86,90.01 - 95.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703200049, -92.86723330099966)"
2012,2008,0540,BCLUW,57,65,87.69,85.01 - 90.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703200049, -92.86723330099966)"
2013,2009,0540,BCLUW,48,50,96.00,95.01 - 100.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703200049, -92.86723330099966)"
2014,2010,0540,BCLUW,45,49,91.84,90.01 - 95.00%,"610 East Center Street
Conrad, Iowa 50621
(42.22454703100004, -92.86723330099994)"
2009,2005,0549,Bedford,38,39,97.44,95.01 - 100.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574000048, -94.72259905999965)"
2010,2006,0549,Bedford,36,39,92.31,90.01 - 95.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574000048, -94.72259905999965)"
2011,2007,0549,Bedford,37,41,90.24,90.01 - 95.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574000048, -94.72259905999965)"
2012,2008,0549,Bedford,36,39,92.31,90.01 - 95.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574000048, -94.72259905999965)"
2013,2009,0549,Bedford,39,44,88.64,85.01 - 90.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574000048, -94.72259905999965)"
2014,2010,0549,Bedford,27,27,100.00,95.01 - 100.00%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.669845741000074, -94.72259905999994)"
2009,2005,0576,Belle Plaine,52,62,83.87,80.01 - 85.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666000466, -92.2781340899997)"
2010,2006,0576,Belle Plaine,52,59,88.14,85.01 - 90.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666000466, -92.2781340899997)"
2011,2007,0576,Belle Plaine,43,48,89.58,85.01 - 90.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666000466, -92.2781340899997)"
2012,2008,0576,Belle Plaine,33,39,84.62,80.01 - 85.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666000466, -92.2781340899997)"
2013,2009,0576,Belle Plaine,47,50,94.00,90.01 - 95.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666000466, -92.2781340899997)"
2014,2010,0576,Belle Plaine,36,39,92.31,90.01 - 95.00%,"707-7th Street
Belle Plaine, Iowa 52208
(41.89186166600007, -92.27813408899999)"
2009,2005,0585,Bellevue,43,45,95.56,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500049, -90.44191706299966)"
2010,2006,0585,Bellevue,62,62,100.00,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500049, -90.44191706299966)"
2011,2007,0585,Bellevue,46,48,95.83,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500049, -90.44191706299966)"
2012,2008,0585,Bellevue,58,58,100.00,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500049, -90.44191706299966)"
2013,2009,0585,Bellevue,48,50,96.00,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500049, -90.44191706299966)"
2014,2010,0585,Bellevue,54,55,98.18,95.01 - 100.00%,"1601 State St
Bellevue, Iowa 520310976
(42.25392485500004, -90.44191706299995)"
2009,2005,0594,Belmond-Klemme,45,47,95.74,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.8489540970005, -93.60345038599968)"
2010,2006,0594,Belmond-Klemme,49,49,100.00,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.8489540970005, -93.60345038599968)"
2011,2007,0594,Belmond-Klemme,57,57,100.00,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.8489540970005, -93.60345038599968)"
2012,2008,0594,Belmond-Klemme,40,41,97.56,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.8489540970005, -93.60345038599968)"
2013,2009,0594,Belmond-Klemme,37,37,100.00,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.8489540970005, -93.60345038599968)"
2014,2010,0594,Belmond-Klemme,45,45,100.00,95.01 - 100.00%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.848954097000046, -93.60345038599996)"
2009,2005,0609,Benton,109,121,90.08,90.01 - 95.00%,"304 1st St
Van Horne, Iowa 52346
(42.01013071900047, -92.08577792399967)"
2010,2006,0609,Benton,109,125,87.20,85.01 - 90.00%,"304 1st St
Van Horne, Iowa 52346
(42.01013071900047, -92.08577792399967)"
2011,2007,0609,Benton,123,135,91.11,90.01 - 95.00%,"304 1st St
Van Horne, Iowa 52346
(42.01013071900047, -92.08577792399967)"
2012,2008,0609,Benton,125,138,90.58,90.01 - 95.00%,"304 1st St
Van Horne, Iowa 52346
(42.01013071900047, -92.08577792399967)"
2013,2009,0609,Benton,114,126,90.48,90.01 - 95.00%,"304 1st St
Van Horne, Iowa 52346
(42.01013071900047, -92.08577792399967)"
2014,2010,0609,Benton,112,124,90.32,90.01 - 95.00%,"304 1st St
Van Horne, Iowa 52346
(42.010130719000074, -92.08577792499995)"
2009,2005,0621,Bettendorf,284,315,90.16,90.01 - 95.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100048, -90.49877129199967)"
2010,2006,0621,Bettendorf,341,370,92.16,90.01 - 95.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100048, -90.49877129199967)"
2011,2007,0621,Bettendorf,327,349,93.70,90.01 - 95.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100048, -90.49877129199967)"
2012,2008,0621,Bettendorf,308,332,92.77,90.01 - 95.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100048, -90.49877129199967)"
2013,2009,0621,Bettendorf,297,330,90.00,85.01 - 90.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100048, -90.49877129199967)"
2014,2010,0621,Bettendorf,344,361,95.29,95.01 - 100.00%,"3311 18th Street
Bettendorf, Iowa 52722
(41.55646354100003, -90.49877129199996)"
