id,sex
304,Male
305,Male
306,Male
307,Male
308,Male
309,Male
310,Female
311,Male
312,Male
313,Male
314,Male
315,Male
316,Male
317,Female
318,Female
319,Male
320,Male
321,Male
322,Male
323,Male
324,Female
325,Female
326,Male
327,Male
328,Male
329,Female
330,Male
331,Female
332,Male
333,Male
334,Female
335,Female
336,Male
337,Male
338,Male
339,Male
340,Female
341,Male
342,Female
343,Male
344,Female
345,Male
346,Male
347,Female
348,Male
349,Male
350,Male
351,Female
352,Male
353,Female
354,Male
355,Female
356,Male
357,Male
358,Male
359,Female
360,Male
361,Female
362,Female
363,Female
364,Male
365,Male
366,Male
367,Male
368,Male
369,Male
370,Male
371,Male
372,Male
373,Male
374,Male
375,Female
376,Female
377,Male
378,Male
379,Male
380,Male
381,Male
382,Female
383,Female
384,Male
385,Male
386,Male
387,Male
388,Male
389,Male
390,Male
391,Male
392,Male
393,Female
394,Female
395,Male
396,Male
397,Male
398,Female
399,Male
400,Male
401,Female
402,Female
403,Female
404,Male
405,Male
406,Male
407,Female
408,Male
409,Male
410,Male
411,Male
412,Male
413,Male
414,Female
415,Male
416,Male
417,Male
418,Male
419,Male
420,Male
421,Male
422,Female
423,Female
424,Male
425,Female
426,Female
427,Male
428,Female
429,Male
430,Male
431,Male
432,Male
433,Male
434,Male
435,Male
436,Male
437,Male
438,Male
439,Male
440,Female
441,Male
442,Female
443,Male
444,Male
445,Female
446,Male
447,Male
448,Male
449,Male
450,Female
451,Male
452,Male
453,Male
454,Male
455,Female
456,Male
457,Male
458,Male
459,Female
460,Male
461,Male
462,Female
463,Female
464,Female
465,Male
466,Male
467,Female
468,Female
469,Female
470,Male
471,Female
472,Male
473,Female
474,Male
475,Female
476,Male
477,Male
478,Female
479,Male
480,Male
481,Female
482,Male
483,Female
484,Male
485,Male
486,Male
487,Male
488,Male
489,Male
490,Male
491,Male
492,Male
493,Male
494,Female
495,Male
496,Female
497,Female
498,Female
499,Female
500,Male
501,Male
502,Female
503,Male
504,Female
505,Male
506,Female
507,Male
508,Male
509,Male
510,Male
511,Male
512,Male
513,Male
514,Female
515,Male
516,Female
517,Male
518,Male
519,Male
520,Male
521,Male
522,Male
523,Female
524,Male
525,Male
526,Male
527,Female
528,Male
529,Male
530,Male
531,Male
532,Male
533,Male
534,Male
535,Male
536,Male
537,Male
538,Male
539,Female
540,Male
541,Male
542,Female
543,Male
544,Male
545,Male
546,Male
547,Male
548,Female
549,Male
550,Female
551,Male
552,Female
553,Male
554,Female
555,Female
556,Male
557,Female
558,Male
559,Female
560,Female
561,Male
562,Male
563,Male
564,Male
565,Male
566,Male
567,Male
568,Male
569,Male
570,Male
571,Male
572,Male
573,Male
574,Male
575,Male
576,Male
577,Female
578,Male
579,Male
580,Male
581,Male
582,Male
583,Male
584,Male
585,Male
586,Male
587,Male
588,Male
589,Male
590,Male
591,Male
592,Male
593,Male
594,Male
595,Male
596,Male
597,Male
598,Male
599,Male
600,Female
601,Male
602,Male
603,Male
604,Male
605,Male
606,Male
607,Female
608,Female
609,Male
610,Male
611,Male
612,Female
613,Male
614,Male
615,Female
616,Male
617,Male
618,Male
619,Male
620,Female
621,Female
622,Male
623,Male
624,Male
625,Female
626,Male
627,Male
628,Female
629,Male
630,Male
631,Male
632,Male
633,Male
634,Male
635,Male
636,Male
637,Female
638,Male
639,Male
640,Female
641,Male
642,Male
643,Male
644,Male
645,Male
646,Female
647,Female
648,Male
649,Female
650,Male
651,Female
652,Male
653,Male
654,Female
655,Male
656,Female
657,Male
658,Female
659,Male
660,Male
661,Male
662,Male
663,Male
664,Male
665,Female
666,Male
667,Male
668,Female
669,Male
670,Male
671,Male
672,Male
673,Male
674,Female
675,Male
676,Male
677,Male
678,Male
679,Female
680,Male
681,Male
682,Male
683,Male
684,Female
685,Female
686,Male
687,Male
688,Female
689,Female
690,Male
691,Male
692,Male
693,Male
694,Male
695,Male
696,Female
697,Male
698,Female
699,Male
700,Female
701,Male
702,Male
703,Male
704,Male
705,Male
706,Male
707,Male
708,Male
709,Male
710,Male
711,Male
712,Male
713,Male
714,Female
715,Female
716,Female
717,Male
718,Male
719,Male
720,Male
721,Male
722,Male
723,Male
724,Male
725,Female
726,Male
727,Male
728,Male
729,Male
730,Male
731,Male
732,Female
733,Male
734,Female
735,Female
736,Male
737,Male
738,Male
739,Male
740,Male
741,Male
742,Male
743,Male
744,Female
745,Male
746,Female
747,Male
748,Male
749,Male
750,Female
751,Male
752,Female
753,Male
754,Female
755,Female
756,Male
757,Male
758,Female
759,Male
760,Female
761,Female
762,Male
763,Male
764,Male
765,Female
766,Male
767,Male
768,Female
769,Male
770,Male
771,Male
772,Female
773,Female
774,Male
775,Male
776,Male
777,Male
778,Female
779,Male
780,Male
781,Male
782,Male
783,Female
784,Male
785,Female
786,Male
787,Female
788,Male
789,Male
790,Male
791,Male
792,Male
793,Female
794,Male
795,Male
796,Male
797,Female
798,Male
799,Male
800,Male
801,Male
802,Male
803,Female
804,Male
805,Male
806,Male
807,Male
808,Male
809,Male
810,Male
811,Female
812,Male
813,Male
814,Male
815,Male
816,Male
817,Male
818,Female
819,Female
820,Male
821,Female
822,Female
823,Male
824,Male
825,Male
826,Male
827,Male
828,Female
829,Female
830,Male
831,Female
832,Male
833,Female
834,Male
835,Male
836,Male
837,Male
838,Female
839,Male
840,Female
841,Female
842,Female
843,Male
844,Male
845,Male
846,Female
847,Male
848,Male
849,Male
850,Male
851,Male
852,Male
853,Male
854,Female
855,Male
856,Male
857,Female
858,Male
859,Male
860,Male
861,Female
862,Male
863,Male
864,Female
865,Male
866,Male
867,Male
868,Male
869,Male
870,Male
871,Female
872,Male
873,Female
874,Female
875,Male
876,Male
877,Male
878,Male
879,Female
880,Male
881,Male
882,Male
883,Female
884,Male
885,Male
886,Male
887,Male
888,Male
889,Female
890,Male
891,Female
892,Female
893,Female
894,Male
895,Male
896,Male
897,Female
898,Male
899,Female
900,Female
901,Female
902,Female
903,Female
904,Male
905,Female
906,Female
907,Female
908,Female
909,Male
910,Male
911,Male
912,Male
913,Male
914,Female
915,Female
916,Male
917,Male
918,Female
919,Female
920,Male
921,Female
922,Male
923,Male
924,Male
925,Female
926,Male
927,Male
928,Female
929,Male
930,Male
931,Male
932,Female
933,Male
934,Male
935,Male
936,Male
937,Male
938,Female
939,Male
940,Male
941,Female
942,Male
943,Male
944,Male
945,Male
946,Male
947,Male
948,Male
949,Male
950,Female
951,Male
952,Male
953,Male
954,Male
955,Male
956,Male
957,Male
958,Female
959,Male
960,Male
961,Female
962,Male
963,Male
964,Female
965,Male
966,Female
967,Male
968,Male
969,Female
970,Male
971,Female
972,Female
973,Male
974,Female
975,Male
976,Female
977,Male
978,Male
979,Female
980,Male
981,Male
982,Male
983,Male
984,Male
985,Male
986,Female
987,Male
988,Male
989,Female
990,Male
991,Male
992,Male
993,Male
994,Female
995,Male
