reviews,search_term,title,location,summary
,Data Engineer,Data Engineer,,"
Work with Data Analysts to get the right data to the right people at the right time. Ability to trouble shoot complex data and system interaction problems...."
10 reviews,Data Engineer,"Software Engineer, Big Data",,"
Software Engineer, Java (Big Data). The Java Engineer need to know Big Data technologies. The position will build a world-class data infrastructure, work on..."
,Data Engineer,Big Data Developer,,"
Big Data Development:. Develop a highly scalable, reliable, and realtime data processing pipeline. Building efficient data processing pipelines to deliver..."
,Data Engineer,Data Scientist,,"
Over 2 years of experience in a Data Scientist role. Learn from some of the smartest, most experienced, scientists and engineers in the world...."
41 reviews,Data Engineer,"Software Engineer, Data and Algorithms","Emeryville, CA","Software Engineer, Data and Algorithms. We are looking for a Software Engineer, Data and Algorithms to help our growing team build data pipelines at scale...."
,Data Engineer,Software Engineer (Big Data),"Mountain View, CA","PurposeHLI’s machine learning/big data team will design and engineer advanced programs performing mining, analysis and assessment of the most comprehensive..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
3 reviews,Data Engineer,Data Scientist,"Redwood City, CA",Work closely with engineers to integrate prototypes of data models into the production environment. Experience creating and proving predictive model prototypes...
,Data Engineer,Senior Software Engineer - Windows,"Mountain View, CA",Senior Software Engineer - Windows. You take pride in being a software engineer. Gridstore™ is the leader in Hyper Converged All-Flash Infrastructure for the...
"2,661 reviews",Data Engineer,Master Data Engineer,,"
Master Data Engineer. At least 3years in coding in data management, data warehousing or unstructured data environments...."
,Data Engineer,"Software Engineer, Product",,"
Strong command of data that can help improve the Pinner experience. You'll help us build and deliver Pinterest to millions of people all over the world...."
15 reviews,Data Engineer,Data Engineer,,"
Data sourcing, data mapping, data profiling, data mining, documenting data definitions. Data Engineer – San Francisco, CA...."
4 reviews,Data Engineer,Software Engineer - Data,,"
We’re a tight-knit, super-ambitious team in San Francisco looking for a Software Engineer - Data that can help us expand our global data capture footprint...."
,Data Engineer,Data Engineer,,"
Experience building robust data systems as well as designing data models from complex source data. Build tools to extract data from disparate school data..."
,Data Engineer,Data Engineer,,"
Engineers at Wealthfront work on a diverse set of topics ranging from data pipelines to machine-learning models...."
,Data Engineer,Software Engineer,,"
The Nuna product engineering team is a diverse organization of data processing engineers, web engineers, and front end engineers...."
,Data Engineer,Data Engineer,,"
The responsibilities of data engineers at CrunchBase include:. Data Engineering at CrunchBase. Our data team is responsible for building and maintaining the..."
,Data Engineer,"Software Engineer, Data Science Systems",,"
On this team, you will be working collaboratively with platform engineers, data scientists, and designers to build a world-class experience for data science and..."
47 reviews,Data Engineer,Data Warehouse Engineer II,,"
The Data Warehouse Engineer is responsible for the development and maintenance of the FRB Data Warehouse and all the processes supporting the acquistion of data..."
78 reviews,Data Engineer,Software Engineer,"San Jose, CA",This person will triage to resolve customer escalations for data center related cloud networking switching & routing products....
3 reviews,Data Engineer,Backend Software Engineer - Catalog,"San Francisco, CA","Lead design and implementation of new data enrichment techniques. ShopStyle, the leading product search engine, is looking for an ambitious JavaBackend Engineer..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
3 reviews,Data Engineer,Generalist Software Engineer,"San Francisco, CA",We are now searching for a Generalist Software Engineer to help our team shape ideas into an elegant and functional solution....
6 reviews,Data Engineer,Database Engineer,"San Mateo, CA","Data Warehousing exposure. Experience optimizing data models and database schemas, and SQL for distributed applications...."
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
,Data Engineer,Software Engineer - Real-Time Data Infrastructure,,"
Software engineering, data engineering, data processing, streaming data system:. You will work with other data teams leveraging Hadoop, Spark and other data..."
,Data Engineer,"Software Engineer, Infrastructure and Operations",,"
Expertise in data structures, algorithms, complexity analysis, analysis and troubleshooting of large scale distributed systems...."
,Data Engineer,Senior Device Engineer,,"
The company focuses on delivering a family of long wavelength tunable transceivers for data centers and data communications...."
"2,266 reviews",Data Engineer,"Software Engineer, Data Infrastructure",,"
Big data search architect build server software engineer datasets python http hadoop sql perl threading specialerpsiri0814...."
,Data Engineer,"Software Engineer, Resource Management",,"
Strong grasp of algorithms and data structure fundamentals:. Innovative work - Cloudera pushes the frontier of big data and distributed computing, as our track..."
,Data Engineer,Senior Data Engineer,,"
We use Spark Standalone in production and Databricks for exploratory data analysis. Our backend consists of Scala and PHP backend services, REST API and ad..."
90 reviews,Data Engineer,Cadreon - Data Engineer (Data Software Engineer),,"
Cadreon is looking for a Data Engineer to implement data platform that will be backbone of the overall Cadreon Technology stack...."
,Data Engineer,Software Engineer,,"
Strong data analysis/database skills. As a Web Software Engineer, you are a key player on the Development team...."
,Data Engineer,Direct Hire - Big Data Engineer,,"
Lead initiatives to deploy new big data technologies in other business units on traditional data warehouse stacks. Hadoop | Big Data Technologies:...."
,Data Engineer,Sr Data Engineer,,"
We are looking for a Data Engineer to help build out our data infrastructure using the best tools available so that data can truly flow through scalability,..."
127 reviews,Data Engineer,Engineering Manager - San Francisco,"San Francisco, CA","Full stack engineer, Manager:. You understand how to use data to make decisions. Solid knowledge of data structures and algorithms and excellent programming..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
429 reviews,Data Engineer,"Senior Software Engineer, Big Data","Mountain View, CA","The Intuit Data Engineering Analytics team, or IDEA, provides and uses data to help our customers and Intuit make and save money...."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
3 reviews,Data Engineer,Senior Software Engineer,"San Francisco, CA","Experience with big data and machine learning pipelines. Proven ability to work independently, lead a software project, and mentor junior software engineers...."
,Data Engineer,Hadoop Data Integration Engineer,,"
Load data & provide various data sets to analytical researches on a distrib’d data processing platform. Work w/ big data tools for log data analysis...."
11 reviews,Data Engineer,Data Warehouse Engineer,,"
Jawbone is looking for a Data Warehouse Engineer to play an integral role in achieving Jawbone""s Hardware + Software + Big Data vision...."
9 reviews,Data Engineer,Data Scientist,,"
Big data tools:. Do you enjoy the whole data science lifecycle from ideation, data exploration, model building, results communication, all the way to..."
,Data Engineer,Software Engineer,,"
Comfortable with DB and data warehouse design. Real-time analytics, ETL data warehousing, machine learning, relevance modeling, search indexing and ranking, iOS..."
3 reviews,Data Engineer,Senior Data Engineer,,"
DoubleDutch is looking for a Senior Data Engineer who aspires to make a big impact on our technology platform and deliver data solutions that will reshape the..."
"1,674 reviews",Data Engineer,Creative Technologist / Sr. Front-End Web Developer,,"
Experience in data exchange between application layers via XML and JSON. Work with a wide variety of technologies and marketing tools, to architect and build..."
10 reviews,Data Engineer,Data Analyst,,"
If you are naturally data curious, excited about deriving insights from data, and motivated by having an impact on the business, we want to hear from you...."
,Data Engineer,Rapid HW Prototyping Engineer (Performance & Data),,"
You will work in close collaboration with Algorithm developers and Simulation SW engineers to translate Computed Vision and Image Processing algorithms into RTL..."
,Data Engineer,Data Services Engineer,,"
We're looking for a Data Engineer to oversee and expand the systems we use to store and analyze data on how people are using our products, as well as build out..."
6 reviews,Data Engineer,Software Engineer - Analytics,,"
Documenting and communicating technical specifications to ensure that proper and optimized techniques, queries, data standards, and final deliverables are..."
429 reviews,Data Engineer,Staff Software Engineer (Data Governance),"Mountain View, CA","We're looking for a solid Software Engineer who possesses excellent technical skills to work with the team in the areas of Data Mining, Data Quality, Data..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,Software Engineer,"Livermore, CA",Software Engineer Responsibilities*. Software Engineer Other Skills*. Support software development of radar systems to include design and implementation of data...
2 reviews,Data Engineer,Big Data Software Engineer - Hedge Funds,"San Francisco Bay Area, CA","Big Data Software Engineer - Hedge Funds - trading, portfolio management and analytics platform. We are seeking talented senior level software engineers to join..."
127 reviews,Data Engineer,Data Scientist,"San Francisco, CA",As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. How A Data Scientist Works. Can do small data modeling work:....
,Data Engineer,Data Scientist / Machine Learning Engineer,,"
A passion for making sense of lots of unstructured data. Work closely with the infrastructure engineers to ensure engines will scale on high volumes...."
,Data Engineer,Data Engineer - San Francisco,,"
We are looking for a new Prezilian passionate about data engineering and analytics to join our team as Data Engineer. Analyst, data scientist background...."
93 reviews,Data Engineer,SOFTWARE ENGINEER,,"
Data visualization experience. Station A is a talented group of engineers, computational scientists and business strategists that engineer and integrate clean..."
,Data Engineer,Data Engineer - Streaming Infrastructure,,"
Data Engineer, Software Engineer, Kafka, Samza, Storm,:. Software Engineer - Data Engineering - Real-Time Data Infrastructure Location:...."
,Data Engineer,Data Engineer,,"
Previous experience as a Data engineer or Data Analyst. Currently they are looking to expand their Data Science and Analytics team by hiring on a Data Engineer..."
330 reviews,Data Engineer,"Data Engineer, Software",,"
3-5 years of relevant data engineering experience. Knowledge of data modeling and database design is must...."
,Data Engineer,Business Intelligence Engineer,,"
You will bring in internal data and from third-party sources and you need to be able to bridge that gap to make reliable decisions based on that disparate data...."
,Data Engineer,"Software Engineer, Data API",,"
Design, implement, and own Amino data platform APIs. With your help, we can accelerate the Data Science team’s ability to derive insights, hide the complexity..."
,Data Engineer,Data Engineer,,"
We’re looking for talented data engineers to help us build the next generation of data platforms and products...."
9 reviews,Data Engineer,"MTS 1, Data Engineer",,"
MTS 1, Data Engineer. Methodical approach to areas such as Data Modeling, Data Quality. Must have experience in building data platform – designing and building..."
6 reviews,Data Engineer,Software Engineer - Apps,"San Mateo, CA","Experience building algorithms, data structures, and optimizing performance. With over 3,700 worldwide customers, Marketo is a leader in cloud software and one..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
,Data Engineer,Software Engineer,"San Francisco Bay Area, CA","(You understand smart pointers, templates, and a wide variety of data structures. We are scouting for a Software Engineer for our Cameras/3D Modeling Team...."
,Data Engineer,Data Scientist,"Mountain View, CA","Easy to use and deploy, Arimo Data Intelligence Platform runs on existing Hadoop data stores, allowing businesses to begin generating value from big data within..."
247 reviews,Data Engineer,Bioinformatics Software Engineer II,,"
We are seeking a Software Engineer to join the Biologics Resource Management (BRM) Group within the department of Proteomics and Biological Resources...."
,Data Engineer,Software Engineer – SQL Developer,,"
SQL Database Design, including data models and database objects. 3+ years of experience with financial data feeds (Bloomberg, State Street Bank, etc…)...."
53 reviews,Data Engineer,Data Scientist,,"
Instacart is powered by data. Working closely with engineers, designers, product managers and operations teams to iterate on solutions...."
11 reviews,Data Engineer,Data Scientist,,"
The Team You can’t wait to join a team of data scientists, data engineers, and data visualization experts and make a huge impact on our best-in-class software...."
,Data Engineer,DevOps Engineer (Focus on Data Science & ETL),,"
Work closely with data team to design, implement, and maintain infrastructure and tools supporting data pipelines and ETLs...."
,Data Engineer,Software Engineer - Data/Hadoop Infrastructure,,"
Hadoop Engineer, Data engineer, Data Infrastructure Engineer:. You will help evaluate and build the next generation of data infrastructure technologies, that..."
2 reviews,Data Engineer,Mapping iOS Engineer (Maps / Data Visualization),,"
Limited access to a reliable data connection). Our team is composed of top scientists and engineers. Experience with separate areas of responsibility for UI,..."
366 reviews,Data Engineer,"Architect Software Engineer, IOS Job",,"
Experience working with High security level of data on devices. Experience mentor a team of talented engineers into the mobile world...."
,Data Engineer,Software Engineer,,"
You will join a team made up of software engineers, architects, user interaction design engineers and product owners to lead the development and deployment of..."
2 reviews,Data Engineer,Senior Data Engineer,,"
Experience with integration of data from multiple data sources. Work closely with product managers, data analysts, user experience experts, and quality..."
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
"8,217 reviews",Data Engineer,"Software Development Engineer – Big Data, New Service- Relocation Opportunity",United States,"AWS provides massively scaled distributed data services that give users fast and predictable Big Data performance with clusters running Hadoop, Hive, Pig,..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
41 reviews,Data Engineer,"Software Engineer, Data and Algorithms","Emeryville, CA","Software Engineer, Data and Algorithms. We are looking for a Software Engineer, Data and Algorithms to help our growing team build data pipelines at scale...."
6 reviews,Data Engineer,Database Engineer,"San Mateo, CA","Data Warehousing exposure. Experience optimizing data models and database schemas, and SQL for distributed applications...."
,Data Engineer,Data Engineer,,"
Design and implement data pipelines for acquiring and transforming plant floor data. As a Data Engineer at Sight Machine you’ll have the unique opportunity to..."
,Data Engineer,Sr Data Engineer,,"
As the first Data Engineer at Sparkcentral you will be responsible for the implementation and ongoing administration of the Data Infrastructure/pipeline...."
,Data Engineer,Systems Reliability Engineer - Data Infrastructure,,"
About Us At CloudFlare, we have our eyes set on an ambitious goal -- to build a better web. We believe that with our talented team, smart technology and"
,Data Engineer,Full Stack Engineer,,"
Embrace the agile development process and lean startup approach, grounded in metrics and user data. As a Full Stack Engineer at UpCounsel, you will immediately..."
,Data Engineer,Data Engineer,,"
Entelo engineers find, store, query, and analyze the increasing volume of data we're capturing about work and professional life...."
,Data Engineer,Data Engineer,,"
To do this, we need to hire a Data Engineer to join our San Francisco Data team. Designs and builds various data solutions...."
5 reviews,Data Engineer,Software Engineer - Infrastructure,,"
You will measure and optimize as Dropbox continues to build one of the industry's most advanced analytics platforms to derive meaning from vast amounts of data...."
"1,090 reviews",Data Engineer,"Software Engineer, Big Data, YouTube",,"
Experience in big data, information retrieval, data mining or machine learning. Excellent data mining and analytical skills...."
,Data Engineer,Software Engineer (Performance & Data),,"
Develop and implement data processing algorithms in SW. Work with ground truth data acquisition systems, develop algorithms and implement SW components for data..."
,Data Engineer,PostgreSQL Database Engineer / Administrator,,"
Experience with data warehousing. You would work with other engineers to build good data infrastructure, monitor and ensure proper database usage, and help..."
,Data Engineer,"Senior Software Engineer, Cloud Services (IoT PaaS)","Santa Clara, CA",Using technologies for real-time data processing systems. We are looking for some exceptional engineers to join the Ayla Cloud Service team....
,Data Engineer,Senior Software Engineer,"Mountain View, CA","About the Senior Software Engineer Position. The successful Senior Software Engineer candidate knows and loves working with the latest software stacks, can..."
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
31 reviews,Data Engineer,Big Data Engineer/ Senior Data Engineer,"San Francisco, CA",Big Data team is looking for an experienced Data Engineer who has a passion to build data products and data systems....
2 reviews,Data Engineer,Senior Full-Stack Engineer,"San Francisco, CA","Senior Full-Stack Engineer. Experience in Python and data modeling. We’re looking for an experienced, strong engineer that can design for scale, wrangle through..."
,Data Engineer,Senior Big Data Engineer (Hadoop Engineer),,"
Senior Big Data Engineer (Hadoop Engineer)_*. The Data Engineer will also contribute to overall big data platform development...."
,Data Engineer,Data Science Engineer,,"
More specifically, we are looking for an exceptional Data Science Engineer candidate with a computer science, engineering or physical sciences background who..."
101 reviews,Data Engineer,Software Engineer - Front End (BI Data Platform),,"
We are looking for a Front End Engineer to build intuitive interfaces that will help teams better understand the data the BI Data platform team creates...."
,Data Engineer,Data Engineer,,"
We need a data engineer who wants nothing more than to wrangle massive amounts of data. Use open source tools and data stores to analyze and store billions of..."
,Data Engineer,Senior Data Engineer,,"
Passion for converting innovative data science innovations and algorithms into data products. Own the architecture, delivery, and evolution of interrelated big..."
264 reviews,Data Engineer,Frontend Data Engineer Job,,"
Frontend Data Engineer. As a front end engineer at VISA on the data team, you will be responsible for helping build our data platform that aids various payments..."
101 reviews,Data Engineer,Software Engineer- Data (BI Platform),,"
The engineers on this team are a critical part of making our data engineering platform successful.The Business Intelligence Data Platforms group are the..."
85 reviews,Data Engineer,Senior Big Data Engineer (Hadoop),,"
The Data Engineer will also contribute to overall big data platform development. Perform adhoc data analysis, data processing, data visualization using SQL and..."
"1,370 reviews",Data Engineer,"Data Engineer, Six Sigma",,"
The Data Engineer will need to develop a comprehensive understanding of McKesson’s data environment. Expertise troubleshooting data quality issues, analyzing..."
4 reviews,Data Engineer,"Senior Software Engineer, Platform Integration",,"
As a Senior Software Engineer at SocialCode, you will have a tremendous impact in building our third-party platform integration layer...."
"6,496 reviews",Data Engineer,Windows System Administrator/Engineer,"Menlo Park, CA","Network/Systems Engineer --Job/Company Details:. Data recovery, backup and disaster planning. Network/Systems Engineer on a permanent full-time, fully-benefited..."
6 reviews,Data Engineer,Software Engineer - Analytics,"San Mateo, CA",To be working in a team of smart/talented engineers who are building a big data platform that will be scalable in to the petabytes of data....
,Data Engineer,Data Engineer,"San Francisco, CA","and grow your career. Autonomy, flexibility and a flat corporate structure. Plum is leading the transformation of commercial real estate lending through"
429 reviews,Data Engineer,Staff Data Engineer,"Mountain View, CA","Product Management, Project Management, Data Architects, Data Scientists, Data Analysts, Software Engineers, and other Data Engineers...."
,Data Engineer,Software Engineer,"Fremont, CA",Experience with cloud-based data processing like Hadoop or Spark. We are seeking software engineers with good analytical skills to build a software...
,Data Engineer,Software Engineer - Hadoop,,"
You’ll work within the data engineering team on big data technologies to build a reliable and scalable Hadoop platform and user-facing data products...."
41 reviews,Data Engineer,Data Scientist,,"
The Data Scientist will work closely with ZipRealty’s data science team, product managers, engineers and leadership team to provide insights and analyses that..."
